SPANISH	Selected_Proto4	score	PORTUGUESE	ITALIAN	FRENCH	Selected_Proto5	ROMANIAN	LATIN-CORRECT	Selected_Proto1	Selected_Proto2	Selected_Proto3	final_proposed_protoform
-	devjatjɔone	-2.2377707457145948	-	devjatsione	devjasjɔ̃	devjassione	-	dewɪatɪonɛm	devjasjɔone	devjasjione	devjassɔone	devjasjɔna
desβjaɾ	devjeae	-2.5516735404210493	-	devjare	devje	devjere	-	dewɪarɛ	devjare	devjeaɾ	devjerɾ	devjaa
deβolβeɾ	devolβeɾe	-3.0446858544657758	dɨvulveɹ	devolvere	-	devolβere	-	dewɔlwɛrɛ	devolvere	devolveɾe	devolveɹe	devʊmlveɹa
deβoɾaθjon	devoɾasjɔnne	-4.098705577546843	dɨvuɾɐsɐ̃ʊ̃	divoratsione	devoʁasjɔ̃	devoɾasjinne	-	dewɔratɪonɛm	devoɾasjɔone	devoɾasjione	devoɾasjoone	devoɾasjiʊna
-		-2.1601086078962513	dɨvutɐsɐ̃ʊ̃	-	-		-	dewotatɪonɛm	dɨvutɐsɐʊ			dɨvutɐsɐʊ
deβoβeɾ	devoeeɾ	-2.463306124309698	-	-	devwe	deβweeɾ	-	dewɔwerɛ	devwβeɾ	devoβeɾ	devweeɾ	devweɾ
djestɾo	dɛkstʁu	-3.697180813768453	dɛʃtɹʊ	dɛstro	dɛkstʁ	dɛkstou	dekstru	dɛkstrʊm	dɛkstro	dɛkstʁo	dɛkstru	dɛkstʁʊm
desteɾiðad	dektteiiadte	-3.7488214995390017	dɨʃtɨɾidadɨ	desterita	dɛksteʁite	dektteiiadɨe	deksteɾitate	dɛkstɛrɪtatɛm	dekttɾiiadte	dekteeiiadte	dekttɾiiadɨe	dekteaiiata
djaβoliko	djaβɔliko	-2.5664661186957662	-	djabɔliko	djabolik		-	dɪabɔlɪkʊm	djabɔliko	djaβoliko	djaboliko	djabɔlʊkʊm
djaβlo	djavloo	-2.654443576401114	diabʊ	djavolo	-	djavooo	-	dɪabɔlʊm	djavʊlo	djavolo	djavllo	djaplʊm
djalekto	djalɛkʊo	-3.0396392606502385	diɐlɛtʊ	djalɛtto	djalɛkt	djaletto	djalekt	dɪalɛktɔn	djalɛkto	djalekto	djalɛtto	djalɛktʊm
djaɾjo		-1.5094379124341002	-	-	-		-	dɪarɪʊm	djaɾjo			djaɾjʊm
dikaθ		-2.451195973823924	dikaʃ	dikatʃe	-		-	dɪkakɛm	dikaθʃe	dikatʃe	dikaʃʃe	dikaθʃa
-		-1.6917594692280549	-	-	disjɔ̃		-	dɪkɪonɛm	disjɔ			disjɔ
diktamen		-1.9661128563728325	-	-	diktamɛn		-	dɪktamɛn	diktamɛn	diktamen		diktamn
-		-1.1568932485848131	-	dittamo	-		-	dɪktamnʊm	dittamo			dectamʊm
dikθjon	dikssone	-4.3401964392346635	disɐ̃ʊ̃	ditsione	diksjɔ̃	diksjoee	diktsie	dɪktɪonɛm	diksjone	diksjine	diksjɔne	diksliʊmn
ditʃo	detto	-3.202798663029129	ditʊ	detto	di	detʃo	-	dɪktʊm	ditʃo	ditʊo	ditto	ditʊm
difamatoɾjo	difamattɾjio	-3.149318978470874	difɐmɐtɔɾjʊ	diffamatɔrio	difamatwaʁ	difamattɾjoo	-	dɪffamatorɪʊm	difamatwɾjio	difamatwɾjʊo	difamatwɾjoo	difamaptɾjʊm
difamaɾ	difammɾre	-3.9067588992695375	difɐmaɹ	diffamare	difame	difammɹre	defəima	dɪffamarɛ	difamaɾre	difammare	difamaare	difamaɾa
difeɾiɾ	difeɾeire	-3.390393184288943	difɨɾiɹ	differire	difeʁe	difeɾeɾre	-	dɪffɛrrɛ	difeɾiɾre	difeɾiɹre	difeɾiire	difeɾira
-		-1.4351722163888208	-	-	defjɑ̃s		-	dɪffidɛntɪam	defjɑs			deflis
difluiɾ	diflueɹ	-2.8020020886313928	difluiɹ	-	diflye	diflyiɾ	-	dɪfflʊɛrɛ	difluiɾ	difluiɹ	diflueɾ	diffluiɹ
difundiɾ	difuodiere	-3.699868063166353	difũŋdiɹ	diffondere	difɔ̃dʁ	difuddiere	-	dɪffʊndɛrɛ	difuodiɾre	difuddiɾre	difuddiɹre	difuddra
dixestiβo	diʒɛstifoo	-2.54109005518041	diʒɨʃtivʊ	didʒestivo	diʒɛstif	diʒɛstiioo	-	diɡɛstiwʊm	diʒɛstifvo	diʒɛstifʊo	diʒɛstiivo	diʒɛstivʊm
dixital	diʒittlle	-3.2266144098788883	diʒitɑl	didʒitale	diʒital	didittlle	didʒital	dɪɡɪtalɛm	diʒitalle	diditalle	didittale	diʒitall
dixitaɾ	dixitaare	-2.9358341319729213	diʒitaɹ	didʒitare	-	diditaare	-	dɪɡɪtarɛ	diditaɾre	diditaɹre	dixitaɾre	diditaɾra
diɡnaθjon	diɡnasjone	-3.0872249635363973	diɡnɐsɐ̃ʊ̃	deɲatsione	-	diɡntsione	-	dɪŋnatɪonɛm	diɡntsjone	diɡntsɐone	diɡnasione	diɡntsɐʊmna
diɡnaɾ	diɲnaɾ	-3.579574808298202	diɡnaɹ	deɲare	dɛɲe	diɲnaɹ	-	dɪŋnarɛ	diɲnae	diɡnae	diɡnaɾ	deɲnaa
dilaθeɾaɾ	dilateɾaar	-2.946942109384559	dilɐsɨɾaɹ	dilatʃerar	-	dilatʃɾaar	-	dilakɛrarɛ	dilateɾaɾr	dilatʃɾaɾr	dilatʃɾaɹr	dilateɾaa
-		-1.400792030739832	-	diletsione	-		-	dilektɪonɛm	diletsione			deletsiʊmnea
dilixɛnθja	dilixɑsθja	-2.5449569856415017	-	-	diliʒɑ̃s	diliʒɛnθja	-	dilɪɡɛntɪam	diliʒɑsθja	diliʒɑnθja	diliʒɛsθja	dilʊʒɑnθja
-		-1.7984484573788515	-	dilidʒere	-		-	dilɪɡɛrɛ	dilidʒere			diidʒerea
diluiɾ	dilueɾe	-2.644520598906344	diluiɹ	diluire	dilye	diluere	-	dilʊɛrɛ	diluiɾe	diluiɹe	diluire	diluia
dimanaɾ	dimɐnaɾ	-1.9500608288825716	dimɐnaɹ	-	-		-	dimanarɛ	dimanaɾ	dimɐnaɹ	dimanaɹ	dimana
dimensjon	dimensɔone	-3.382065449828127	dimeɪŋsɐ̃ʊ̃	dimensione	dimɑ̃sjɔ̃	dimensɔoʊe	-	dimɛnsɪonɛm	dimensjone	dimenssone	dimensione	dimansjʊna
-		-1.3929693050586232	-	-	dimidje		-	dimɪdɪʊm	dimidje			demidja
disminwiɾ	diminuiie	-2.500571731182277	diminuiɹ	diminuire	diminye	diminuiiɾ	-	dimɪnʊɛrɛ	diminuire	diminuiɹe	diminuirɾ	diminuia
dimitiɾ	dimittere	-1.9205826463897981	-	dimettere	-	dimettere	-	dimɪttɛrɛ	dimetiɾre	dimettɾre	dimetiere	dimiptera
djonisiako	djoniziako	-1.4501582770430836	-	dioniziako	-		-	dɪɔnysɪakʊm	dioniziako	djonisiako	dionisiako	deʊmnisiakʊm
dipptoŋɡo	dittɔɡŋoo	-2.4693795688095084	ditoŋɡʊ	dittɔŋɡo	diftɔ̃ɡ	dittɔɡʊoo	-	dɪpʰtʰɔŋɡʊm	dittɔɡŋɡo	dittɔɡɡoo	dittɔɡɡɡo	diptɔŋɡʊm
deɾetʃuɾa	dʁɾettuɾa	-3.2064533048696435	diɾeɪtuɾɐ	-	dʁwatyʁ	dʁɾetʃuɾa	-	dirɛkturam	dʁɾetyuɾɐ	dʁɾetyuɾa	dʁɾetʃuɾɐ	dʁɾetyuɾa
diɾimiɾ	diɾimeɾe	-2.6843898609916352	diɾimiɹ	dirimere	diʁime	diɾimere	-	dɪrɪmɛrɛ	diɾimiɾe	diɾimire	diɾimeɹe	diɾimia
-	deʁɔmʁere	-2.1588838818507874	-	dirompere	deʁɔ̃pʁ	deʁopʁere	-	dirʊmpɛrɛ	deʁɔmpere	deʁɔpʁere	deʁɔppere	deʁɔmper
deruiɾ	deʁuiɹ	-3.218205129406049	dɨʁuiɹ	-	dəʁye	dɨʁuiɾ	-	dirʊɛrɛ	dəʁuiɾ	dəʁuiɹ	deʁuiɾ	dəʁuiɾ
-		-1.0594379124341002	-	-	dis		-	ditɛm	dis			dis
desθeɲiɾ	destʃiŋere	-3.163186504339442	-	diʃindʒere	-	destʃiŋeʒe	destʃiŋdʒe	dɪskɪŋɡɛrɛ	destʃiŋdʒe	destʃiŋdre	destʃiŋɾʒe	desʃiŋdre
diskɾepanθja	diskrepanθja	-2.324764223468743	diʃkɹɨpɐ̃ŋsjɐ	diskrepantsa	-	diskɾepantja	-	dɪskrɛpantɪam	diskɾepanθja	diskrepansja	diskrepantja	diskrɨpansja
diskɾepaɾ	diskɾepare	-1.8239208317815767	-	diskrepare	-		-	dɪskrɛparɛ	diskɾepaɾe	diskrepare	diskrepaɾe	diskrepaɾa
diskɾeθjon	diskretsɔone	-3.935479395836717	diʃkɹɨsɐ̃ʊ̃	diskretsione	diskʁesjɔ̃	diskretsɔene	diskretsje	dɪskretɪonɛm	diskretsjone	diskretsjene	diskretsjnne	diskrɨtsjana
diskɾiminaθjon	diskʁiminasjɔnne	-3.7354138790994997	diʃkɹiminɐsɐ̃ʊ̃	diskriminatsione	diskʁiminasjɔ̃	diskʁiminasjinne	-	dɪskrimɪnatɪonɛm	diskʁiminasjɔone	diskʁiminasjione	diskʁiminasjoone	diskʁiminasjɔna
diskuriɾ	diskurrɾre	-2.505213949555858	diʃkuʁeɹ	diskɔrrere	-	diskurrɹre	-	dɪskʊrrɛrɛ	diskuriere	diskuriɾre	diskurrere	diskurer
diskuɾsiβo	diskursivvʊ	-3.016186435602503	diʃkuɾəsivʊ	diskorsivo	diskyʁsif	diskuɾsivvʊ	diskursiv	dɪskʊrsiwʊm	diskursivoʊ	diskuɾsivoʊ	diskursifoʊ	diskuɾsivʊm
diskuɾso	diskuɾəoʊ	-1.7649030205422647	diʃkuɾəsʊ	-	-	diʃkuɾsoʊ	-	dɪskʊrsʊm	diskuɾəsʊ	diskuɾsoʊ	diskuɾssʊ	diskuɾsʊm
diseɾto	dizɛɾttʊ	-2.870936362579082	dizɛɾətʊ	dizɛrto	dizɛʁ	dizɛɾəoʊ	-	dɪsɛrtʊm	dizɛɾtoʊ	dizɛʁtoʊ	dizɛrtoʊ	dizɛrtʊm
desetʃaɾ		-1.821956841931875	-	-	-		-	dɪsɪɛktarɛ	desetʃaɾ			desetʃaɾ
-		-1.8094379124341002	diʃpɐɹ	-	-		-	dɪsparɛm	diʃpɐɹ			diʃpɐɹ
-	dispaɾerʁ	-2.197999031915722	-	disparire	dispaʁɛtʁ	dispaɾetʁ	dispəɾea	dɪsparerɛ	dispaɾeaʁ	dispaɾeae	dispaɾete	dispaɾɛta
dispaɾaɾ	dispɐɾaɹ	-1.5848020573376622	diʃpɐɾaɹ	-	-	diʃpaɾaɾ	-	dɪspararɛ	dispaɾaɾ	dispaɾaɹ	dispɐɾaɾ	dispɐɾa
despaɾtiɾ	despartiri	-2.92937928557304	diʃpɐɾətiɹ	dispartire	-	despartire	despərtsʲi	dɪspartirɛ	despartiʲɹ	despartiʲi	despartiʲe	despartiʲa
dispensaɾ	dispeesare	-2.290451010988703	-	dispensare	depɑ̃se	dispsnsare	-	dɪspensarɛ	dispensaɾe	dispensare	dispeesaɾe	dispansaa
-		-1.2107312068216507	-	dispɛrdere	-		-	dɪspɛrdɛrɛ	dispɛrdere			dispɛrdera
despeɾeθeɾ	dɛsperireɾ	-2.739364454813452	-	disperire	dɛspeʁiʁ	dɛspeʁiθeɾ	-	dɪspɛrirɛ	dɛspeʁiʁeɾ	dɛspeʁireɾ	dɛsperiʁeɾ	dispariʁeɾ
despeɾxiɾ	dispɛʁseɾre	-2.4170891462348774	-	dispɛrdʒere	dispɛʁse	dispɛʁseere	-	dɪspɛrɡɛrɛ	dispɛʁsʒɾre	dispɛʁsiere	dispɛʁsʒere	dispɛʁser
despleɣaɾ	despjeɡare	-3.265106273496956	deʃpɹɨɡaɹ	dispjeɡare	deplwaje	despweɡare	-	dɪsplɪkarɛ	despjeɡaɾe	despweɡaɾe	despweɡaɹe	despeɡaɹa
disponeɾ	dispozeɾ	-3.361286165040171	diʃpoɹ	dispɔrre	dispoze	disporee	dispune	dɪsponɛrɛ	disponeɾ	disponee	dispozee	dispora
disposiθjon	dispozisjɔnne	-2.3701005376223785	-	dispozitsione	dispozisjɔ̃	dispozisjinne	-	dɪspɔsɪtɪonɛm	dispozisjɔone	dispozisjione	dispozisjoone	dispozisjɔna
diskisiθjon	diskizisjsnone	-2.976385481356206	-	diskwizitsione	diskizisjɔ̃	diskizisjoione	-	dɪskwisitɪonɛm	diskizisjɔione	diskizisjsione	diskizisjɔnone	diskizisjsina
disekaɾ	disekeare	-3.0020184325796597	disɨkaɹ	dissekare	diseke	disekeɾre	diseka	dɪssɛkarɛ	disekaɾre	disekaɹre	disekaare	disekaɹa
diseminaɾ	disemineare	-2.48378361310174	disɨminaɹ	disseminare	disemine	disemineɾre	-	dɪssemɪnarɛ	diseminaɾre	diseminaɹre	diseminaare	diseminaɹa
disɛnso	dissnnso	-1.192969305058623	-	dissɛnso	-	dissɛsoo	-	dɪssensʊm	dissɛnso	dissɛnoo	dissɛsso	disɛnsʊm
-		-1.8147984280919265	diseɪŋtiɹ	-	-		-	dɪssɛntirɛ	diseɪŋtiɹ			diseɪŋtiɹ
diseɾtaθjon		-1.6007920307398318	-	-	-		-	dɪssɛrtatɪonɛm	diseɾtaθjon			diseɾtaθjʊm
disimil	disimmlle	-2.236116485618568	disimil	dissimile	-	disiiille	-	dɪssɪmɪlɛm	disimille	disimiile	dissmille	disimipl
-	disimylastsione	-2.6371949803060124	-	dissimulatsione	disimylasjɔ̃	disimylaajɔione	-	dɪssɪmʊlatɪonɛm	disimylasjɔione	disimylasjsione	disimylastɔione	disimylastɔina
-		-1.5594379124341002	-	-	disudʁ		-	dɪssɔlwɛrɛ	disudʁ			disudʁ
disonaɾ	disoneare	-2.765548034775526	disunaɹ	dissonare	disone	disoneɾre	-	dɪssɔnarɛ	disonaɾre	disonaɹre	disonaare	disʊmnaɾra
diswaðiɾ	dissadiɾre	-2.9522187841820724	disuɐdiɹ	dissuadere	disyade	dissadiere	-	dɪssʊaderɛ	disyadiɾre	disyadiɹre	disyadiere	disyader
distendeɾ	distendere	-2.8813947543659753	diʃteɪŋdeɹ	distɛndere	distɑ̃dʁ	distendeee	-	dɪstɛndɛrɛ	distendeɾɹ	distenderɹ	distendeɾe	distander
-	distilaajɔione	-2.307152272632476	-	distillatsione	distilasjɔ̃	distilastsione	-	dɪstɪllatɪonɛm	distilasjɔione	distilasjsione	distilastɔione	distilasjɔona
distinto	distinko	-2.429384135552961	diʃtiŋtʊ	distinto	distɛ̃	distiŋto	distinkt	dɪstɪŋktʊm	distinto	distintt	distintʊ	distinta
destoɾθeɾ	distɔɾrʁere	-4.169686625413656	diʃtuɾəseɹ	distɔrtʃere	distɔʁdʁ	distɔɾrʁeee	destɔartʃe	dɪstɔrkwerɛ	distɔɾrteɹe	distɔɾrtere	distɔɾrteee	distɔɾrter
distoɾsjon	distorsjɔne	-3.2094407799770295	diʃtuɾəsɐ̃ʊ̃	distorsione	distɔʁsjɔ̃	distorsjɐne	distorsjune	dɪstɔrtɪonɛm	distoɾsjone	distorsjone	distorsjune	distursjuna
distɾakθjon	distrakssone	-3.6161804799709425	diʃtɹɐsɐ̃ʊ̃	distratsione	distʁaksjɔ̃	distraksjoee	distraktsie	dɪstraktɪonɛm	distraksjone	distraksjine	distraksjɔne	distraksjina
distɾaeɾ	distrarɾe	-3.5964605633611146	diʃtɹɐiɹ	distrarre	distʁɛʁ	distrarre	distra	dɪstrahɛrɛ	distraʁɾe	distraʁɹe	distraʁre	distraʁa
-	distritto	-2.1826686091439305	diʃtɹitʊ	distretto	distʁikt	distʁitto	distrikt	dɪstrɪktʊm	distrikto	distʁikto	distɹikto	distrikta
distuɾβaɾ	distuɾbarɹ	-2.4795673367006357	diʃtuɾəbaɹ	disturbare	distyʁbe	distuɾbaae	-	dɪstʊrbarɛ	distuɾbaɾe	distuɾbare	distuɾbaɾɹ	distuɾbaa
-	duʁnaale	-3.8822922012747023	diuɾənɑl	dʒornale	ʒuʁnal	duʁnalll	-	dɪʊrnalɛm	duʁnalle	duʁnalɑe	duʁnalɑl	duʁnala
-		-1.5594379124341002	-	divɛrbio	-		-	diwɛrbɪʊm	divɛrbio			divɛrbio
diβeɾtiɾ	diveɾtirɹ	-3.1128352230473864	divɨɾətiɹ	divertire	divɛʁtiʁ	diveɾtire	-	diwɛrtɛrɛ	diveɾtiʁɹ	diveɾtiʁe	diveɾtiɾe	divaɾtia
-		-1.8594379124341003	dɨvɐsaɹ	-	-		-	diweksarɛ	dɨvɐsaɹ			dɨvɐsaɹ
-	divinatjɔone	-2.366867010391966	-	divinatsione	divinasjɔ̃	divinassione	-	diwinatɪonɛm	divinasjɔone	divinasjione	divinassɔone	divinasjɔna
diβinaɾ	divinarɹ	-2.9400680873740423	ɐdiviɲaɹ	divinare	dəvine	divinaae	-	diwinarɛ	divinare	divinaɾe	divinaɾɹ	divinaa
diβulɣaθjon	divulɡasjɔnne	-3.6924508203805884	divuwɡɐsɐ̃ʊ̃	divulɡatsione	divylɡasjɔ̃	divulɡasjinne	-	diwʊlɡatɪonɛm	divulɡasjɔone	divulɡasjione	divulɡasjoone	divulɡasjɔna
diβulɣaɾ	divulɡeɾe	-2.568438042412523	-	divulɡare	divylɡe	divulɡere	-	diwʊlɡarɛ	divulɡaɾe	divulɡare	divulɣare	divulɡaa
doktoɾ	doktoɹe	-4.430394069745413	duwtoɹ	dottore	dɔktœʁ	dottore	doktor	dɔktorɛm	doktore	doktoʁe	doktoɾe	daʊktor
-		-1.4094379124341003	-	dɔʎo	-		-	dolɪʊm	dɔʎo			dɔʎʊm
dolaɾ	dulaɾ	-2.301046452292545	-	-	dole	doɾeɾ	duɾa	dɔlarɛ	dolaɾ	doleɾ	doɾaɾ	dula
doloɾoso	duluɾozo	-4.079024349556692	duluɾozʊ	dolorozo	duluʁø	duloɾoso	duɾuɾos	dɔlorosʊm	duluɾozʊ	duluɾoso	duluɾosʊ	duluɾisʊm
-		-1.5594379124341002	-	dolozita	-		-	dɔlosɪtatɛm	dolozita			dolozita
doloso	dulozo	-2.4600193506030754	dulozʊ	dolozo	-	dolosʊ	-	dɔlosʊm	doloso	dolozo	dolozʊ	dulʊmzʊm
dwelo	dœrlo	-6.055430092942447	dɔ	duɔlo	dœj	doelo	dor	dɔlʊm	doɔlo	dorlo	dojlo	dɔlʊm
domestiko	domestikʊ	-2.4703584339692037	dumɛʃtikʊ	domɛstiko	domɛstik	domɛʃtiko	domestik	dɔmɛstɪkʊm	domɛstiko	domestiko	domɛstikʊ	dumɛstikʊm
domiθiljo	domitillio	-3.5609788121394867	dumisiljʊ	domitʃilio	domisil	domitilliw	domitʃiliw	dɔmɪkɪlɪʊm	domitiljio	domitiljiw	domisilliw	domitilja
dominikal		-1.9078992717326	-	domenikale	-		-	dɔmɪnɪkalɛm	domenikale	dominikale		dominikala
dominjo	dominjʊ	-2.8036787043042297	duminjʊ	dominio	domɛn	dominiʊ	-	dɔmɪnɪʊm	dominjo	dominio	domɛnjo	duminjʊm
domaɾ	dumaɾe	-2.7088730908367937	dumaɹ	domare	-	dumare	-	dɔmarɛ	domare	domaɾe	domaɹe	dumaɾa
don	dɔŋo	-4.665995809754082	doŋ	dono	dɔ̃		-	donʊm	dono	doŋo	dɔno	dʊmna
doɾmitaɾ	doɾmittɾɹ	-2.5369393753531515	duɾəmitaɹ	-	-	doɾmiiaɾɹ	dormita	dɔrmitarɛ	doɾmitaɾɹ	doɾmitaaɹ	doɾmittaɹ	doɾmitaa
doɾmitoɾjo	dormitorɾoʊ	-5.257668628269757	duɾəmitɔɾjʊ	dormitɔrio	dɔʁtwaʁ	doɾmitorioʊ	dormitor	dɔrmitorɪʊm	dormitorjoʊ	doɾmitorjoʊ	dormitorioʊ	dʊmrmitrɾoʊ
dotaθjon	dotasjɔnne	-3.043652403630613	-	dotatsione	dotasjɔ̃	dotasjinne	-	dotatɪonɛm	dotasjɔone	dotasjione	dotasjoone	dʊmtasjiʊmna
dotaɾ	dwtaɾe	-4.145887588058009	dutaɹ	dotare	dwe	dwtare	dota	dotarɛ	dotaɾe	dotaɹe	dotare	dwtaa
dɾakonθjo		-1.4594379124341001	-	-	-		-	drakɔntɪʊm	dɾakonθjo			dɾakʊmnθjʊm
tɾapo	drapplllo	-4.901270045241736	tɹapʊ	drappɛllo	dʁapo	drapolllo	drapel	drappʊm	drapeɛllo	drapelllo	drapoɛllo	drapellʊm
-		-1.5594379124341002	-	dubbjeta	-		-	dʊbɪɛtatɛm	dubbjeta			dubbjeta
-		-1.383490561104079	-	-	-		dubjos	dʊbɪosʊm	dubjos			devjaʊs
-	dybitatjɔone	-2.446440024552907	-	dubitatsione	dybitasjɔ̃	dybitassione	-	dʊbɪtatɪonɛm	dybitasjɔone	dybitasjione	dybitassɔone	dybptasjona
duðaɾ	dubiɾaɹe	-3.562302412225499	duvidaɹ	dubitare	dute	dubiɾare	dubita	dʊbɪtarɛ	dubitaɹe	dubitare	dubidare	dubitaa
duða	dubiio	-2.8272917424617567	dubjʊ	dubbio	-	dubbwo	dubiw	dʊbɪʊm	dubbio	dubiwo	dubiʊo	dubia
dukaðo	dukado	-3.463272018827687	dukadʊ	dukato	dyʃe	dukaðʊ	dukat	dʊkatʊm	dukato	dukaðo	dukatʊ	dukata
dosθjɛntos	dueθʃɛntos	-3.088877464014944	duzeɪŋtʊʃ	duetʃɛnto	-	dueθjɛntos	-	dʊkɛntos	duetʃɛntos	duetɪɛntos	duetjɛntos	deetɪɛntʊmsa
-	-dutʁere	-3.47561725733597	-duziɹ	-dutʃere	-dyiʁ	-duiʃere	-dutʃe	dukɛrɛ	-dutʃɹre	-dutiere	-dutʃere	-duter
dutʃa	duʃʃaa	-2.76423360649462	-	dotʃʃa	duʃ	doʃʃʃa	duʃ	dʊktɪonɛm	dutʃʃa	dutʃaa	duʃʃʃa	dutʃa
dukto	dukio	-4.317841309758299	dutʊ	dɔtto	-dyi	dukʊo	dukt	dʊktʊm	dukto	duyto	dutto	duptʊm
dulkamaɾa		-1.6094379124341003	-	dulkamaɾa	-		-	dulkamaram	dulkamaɾa			dulkamaɾa
-		-1.9594379124341001	duwsifɨɾʊ	-	-		-	dʊlkɪfɛrʊm	duwsifɨɾʊ			duwsifɨɾʊ
dulθifikaɾ	dulsifikkare	-3.342749839468367	duwsifikaɹ	doltʃifikare	dylsifje	dulsifikkɾre	-	dʊlkɪfɪkarɛ	dulsifikaɾre	dulsifikaɹre	dulsifikaare	dulsifikaɾa
-		-2.0607312068216506	duwsilukwʊ	-	-		-	dʊlkɪlɔkwʊm	duwsilukwʊ			duwsilukwʊ
dulθisono	dulθisuno	-1.8832521592104612	duwsisunʊ	-	-	dulsisono	-	dʊlkɪsɔnʊm	dulθisono	dulθisunʊ	dulθisonʊ	dulsisʊmnʊm
dulθeðumbɾe	doltʃitubine	-2.4741080225457748	-	doltʃitudine	-	doltʃitudɾee	-	dʊlkɪtudɪnɛm	doltʃitudine	doltʃitudiee	doltʃitudɾne	deltʃitudine
-	duskɔaɾe	-2.6456276811036528	-	-	dusœʁ	dulkɔaɾe	dulkɔaɾe	dʊlkorɛm	dulœʁaɾe	dulkʁaɾe	dulœɔaɾe	dulœʁaɾa
-		-1.9471199848858811	-	duplitʃe	-		-	dʊplɪkɛm	duplitʃe			duplitʃe
doβlo	doblio	-3.703716116154504	dobɹʊ	doppio	dubl	dobloo	dublu	dʊplʊm	dobluo	doblʊo	dubluo	dublʊm
-	duʁasinna	-3.198609333576692	duɾazjʊ	duratʃina	dyʁasin	duʁasʃnna	-	durakɪnʊm	duʁasʃina	duʁasiʊna	duʁasiina	duʁasʃina
-		-1.9568932485848132	-	-	dyʁamɛn		-	duramɛn	dyʁamɛn			dyʁamɛn
duɾaθjon	duɾatsonne	-3.0643406697028093	duɾɐsɐ̃ʊ̃	duratsione	-	duɾatsinne	-	duratɪonɛm	duɾatsione	duɾatsoone	duɾatsʊone	duɾatsiʊmna
duɾaɾ	duʁaɾe	-3.68830647881083	duɾaɹ	durare	dyʁe	duʁare	duɾa	durarɛ	duɾaɹe	duɾaɾe	duɾare	duɾaa
duɾo	durʊ	-4.328209144851963	duɾʊ	duro	dyʁ	duʁo	dur	durʊm	duro	duɾo	duɾʊ	durʊm
eβoɾeo	ivwrʁo	-3.776069988019394	-	avɔrio	ivwaʁ	ivwrio	-	ɛbɔrɛʊm	ivwaʁo	ivwaeo	ivwaio	evwriʊm
embɾiaɣo	evʁɛakooʊ	-5.264452852595281	eɪmbɹiaɡʊ	ubriako	ivʁɛ	evʁɛakɣɡʊ	-	ebrɪakʊm	evʁɛakoɡʊ	evʁɛakɣoʊ	evʁɛakaoʊ	evʁɛakɣʊm
-	ebʁiɨtedɨ	-2.0413521233942573	ebɹiɨdadɨ	-	ebʁiete	ebʁiedadɨ	-	ebrɪɛtatɛm	ebʁietedɨ	ebʁietadɨ	ebʁiededɨ	abʁiɨtada
eβɾio	ɛbʁjo	-4.341278445864393	ɛbrjʊ	ɛbbro	ivʁ	ɛbbio	-	ebrɪʊm	ɛbbro	ɛbʁro	ɛbʁio	ɛbbriʊm
-	ebblʊ	-3.3250811413952825	ɛbulʊ	ebbio	jɛbl	ɛbblo	-	ɛbʊlʊm	jbblo	jbblʊ	ebblo	abblʊm
eβoɾe	ivoɾew	-4.951750930079086	-	avɔrio	ivwaʁ	ivoɾio	ivoɾiw	ɛbʊr	ivoɾiw	ivoɾʁo	ivoɾʁw	ivoio
eβuɾneo	ebuʁneɛ	-2.553654174961002	-	eburnɛo	ebyʁneɛ̃	eburneɛ	-	ɛbʊrnɛʊm	eburneo	ebuɾneo	ebuʁneo	aburneʊm
iɣlesja	iɣlisja	-5.547165702333749	iɣɾɐʒɐ	kjɛza	eɡliz	iɣliaja	-	ɛkklesɪam	iɣlizɐa	iɣlizja	iɣliaɐa	iɣlɛzɐaia
eklipse	eklipsi	-3.180674698879994	eklipsɨ	eklissi	eklips	eklissə	eklipsə	ɛklipsɛm	eklipsə	eklipse	eklipsɨ	eklepsa
-		-1.7429693050586228	-	-	ediksjɔ̃		-	edɪktɪonɛm	ediksjɔ			adiksjɔ
eðikto	editʊo	-3.4591895960315773	editʊ	editto	edi	eðikto	edikt	edɪktʊm	edikto	editto	edikʊo	ediptʊm
efektiβo	efektifo	-2.742641645871829	ifɨtivʊ	-	efɛktif	efɛktiʊo	-	ɛffɛktiwʊm	efɛktifo	efektiβo	efɛktiβo	efɨktiβʊm
-	efemiieare	-2.010309609845807	-	effeminare	efemine	efemmneare	-	ɛffemɪnarɛ	efemineare	efeminnare	efemiinare	efemnnara
effeɾβeθeɾ	effeɾβeseɾ	-3.0282903505365875	ifɨɾəvɨseɹ	-	-	effeɾβɨθeɾ	-	ɛffɛrweskɛrɛ	effeɾβeθeɾ	effeɾβeseɹ	effeɾβeθeɹ	efeɾβeseɹ
efikaθiðad	efikaθited	-2.0592740811448422	-	-	efikasite	efikasiðad	-	ɛffɪkakɪtatɛm	efikasited	efikasitad	efikasiðed	afikaθcta
efikaθ	efikkatʃe	-3.08892705593603	-	effikatʃe	efikas	efikkstʃe	-	ɛffɪkakɛm	efikastʃe	efikaθtʃe	efikaatʃe	efikastʃa
efektwaɾ	efektyeɾ	-2.1827824656978656	-	-	efɛktye	efɛktwaɾ	-	ɛffɪkɛrɛ	efɛktyeɾ	efɛktyaɾ	efɛktweɾ	efɛktwa
-		-1.4607312068216507	-	effindʒere	-		-	ɛffɪŋɡɛrɛ	effindʒere			effindʒera
