ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT	parsimony_proto1	parsimony_proto2	parsimony_proto3	parsimony_proto4	parsimony_proto5
-	desɛʁne	detʃɛrnere	-	-	dekɛrnɛrɛ	desɛʁneere	desɛʁnnere	desɛʁreere	desɛʁrnere	desɛɛneere
-	-	ditʃevole	-	-	dɛkɪbɪlɛm	ditʃevole				
zetʃimal	desimal	detʃimale	deθimal	dɨsimɑl	dɛkɪmalɛm	detimmlle	detimalle	desimmlle	desimalle	detimmale
-	desimasjɔ̃	detʃimatsione	-	-	dɛkɪmatɪonɛm	desimasjɔione	desimasjsione	desimastɔione	desimastsione	desimaajɔione
detʃima	desime	detʃimare	djeθmaɾ	dizimaɹ	dɛkɪmarɛ	detʃmmare	detʃmaare	detimmare	detimaare	detʃmmɾre
-	dim	dɛtʃimo	djeθmo	dizimʊ	dɛkɪmʊm	dimʃmmo	dimʃmoo	dimʃmʊo	dimθmmo	dimθmoo
-	desəvwaʁ	-	deθepθjonaɾ	dɨsɨpsiunaɹ	dekɪpɛrɛ	desəpwaʁnaɾ	desəpwaʁnaɹ	desəpwaonaɾ	desəpwaonaɹ	desəpwaunaɾ
-	deklame	deklamare	deklamaɾ	dɨklɐmaɹ	deklamarɛ	deklamare	deklamaɾe	deklamaɹe	deklamere	deklameɾe
deklina	dekline	deklinare	deklinaɾ	dɨklinaɹ	deklinarɛ	deklinare	deklinaɾe	deklinaɹe	deklinere	deklineɾe
-	dekliv	-	-	-	dekliwɛm	dekliv				
-	dekɔksjɔ̃	dekotsione	dekokθjon	dɨkusɐ̃ʊ̃	dɛkɔktɪonɛm	dekoksjone	dekoksjɔne	dekoksione	dekoksʊone	dekokθjone
-	-	-	deɣoʎaɾ	dɨɡulaɹ	dekɔllarɛ	deɣoʎaɾ	deɣoʎaɹ	deɣolaɾ	deɣolaɹ	deɣuʎaɾ
-	dekoʁe	dekorare	dekoɾaɾ	dɨkuɾaɹ	dɛkɔrarɛ	dekoɾare	dekoɾaɾe	dekoɾaɹe	dekoʁare	dekoʁaɾe
-	dekɔʁtike	-	-	-	dekɔrtɪkarɛ	dekɔʁtike				
-	-	dekremento	dekɾemɛnto	-	dekremɛntʊm	dekremento	dekremɛnto	dekɾemento	dekɾemɛnto	
-	dekʁetal	dekretale	dekɾetal	dɨkɹɨtɑl	dekretalɛm	dekʁetale	dekretale	dekɾetale	dekɹetale	dekʁetɑle
dekret	dekʁɛ	dekrɛto	dekɾeto	dɨkɹɛtʊ	dekretʊm	dekrɛto	dekrɛtʊ	dekreto	dekʁɛto	dekɾɛto
-	-	dekɔrrere	dekoreɾse	dɨkuʁeɹ	dekʊrrɛrɛ	dekɔreere	dekɔreese	dekɔreɾre	dekɔreɾse	dekɔreɹre
-	-	-	-	dɨkusɨ	dɛkʊssɛm	dɨkusɨ				
-	-	-	-	dɨkusaɹ	dɛkʊssarɛ	dɨkusaɹ				
deda	-	-	-	-	dedɛrɛ	deda				
deduktsie	dedyksjɔ̃	dedutsione	deðukθjon	dɨdusɐ̃ʊ̃	dedʊktɪonɛm	deduksjone	deduksjoee	deduksjine	deduksjɔne	dedukssone
-	defɛksjɔ̃	defetsione	defekθjon	dɨfɛsɐ̃ʊ̃	defɛktɪonɛm	defɛksjone	defeksjone	defɛksjɔne	defeksjɔne	defɛksione
-	defɑ̃s	difeza	defɛnsa	defezɐ	defɛnsam	defezaa	defezsa	defezɐa	defesaa	defessa
-	-	difensione	defensjon	dɨfeɪŋsɐ̃ʊ̃	defensɪonɛm	difensione	difensjone	difenssone	defensione	defensjone
-	defɑ̃sœʁ	difensore	defensoɾ	dɨfeɪŋsoɹ	defensorɛm	defensore	defensorɹ	defensoɾe	defensoɾɹ	defensooe
-	defeʁe	deferire	defeɾiɾ	dɨfɨɾiɹ	defɛrrɛ	defeɾire	defeɾiɾe	defeɾiɹe	defeʁire	defeʁiɾe
-	defɛʁ	-	-	-	defɪkɛrɛ	defɛʁ				
-	-	defluire	-	dɨfluiɹ	deflʊɛrɛ	defluire	defluiɹe	dɨfluire	dɨfluiɹe	
deformatsje	defɔʁmasjɔ̃	deformatsione	defoɾmaθjon	dɨfuɾəmɐsɐ̃ʊ̃	deformatɪonɛm	deformatsjene	deformatsjone	deformatsjnne	deformatsjʊne	deformatsɔene
-	-	deforme	defoɾme	dɨfɔɾəmɨ	deformɛm	defoɾmeɨ	defoɾmmɨ	defoɾəeɨ	deformeɨ	defɔɾmeɨ
-	-	deformita	defoɾmiðad	dɨfuɾəmidadɨ	deformɪtatɛm	defoɾmitaddɨ	defoɾmitaadɨ	defoɾmiðaddɨ	defoɾmiðaadɨ	defoɾmiiaddɨ
-	-	defraudatsione	defɾaʊðaθjon	dɨfɹaʊdɐsɐ̃ʊ̃	defraʊdatɪonɛm	defraʊdatsione	defraʊdatsinne	defraʊdatsoone	defraʊdatsonne	defraʊdatsʊone
-	deʒeneʁe	-	dexeneɾaɾ	dɨʒɨnɨɾaɹ	deɡɛnɛrarɛ	deʒeneɾaɾ	deʒeneɾaɹ	deʒeneɾeɾ	deʒeneɾeɹ	deʒeneʁaɾ
-	deɡʁadasjɔ̃	deɡradatsione	deɣɾaðaθjon	dɨɡɹɐdɐsɐ̃ʊ̃	deɡradatɪonɛm	deɡʁadasjɔone	deɡʁadasjɔnne	deɡʁadasjione	deɡʁadasjinne	deɡʁadasjoone
deɡusta	deɡyste	deɡustare	deɣustaɾ	dɨɡuʃtaɹ	deɡʊstarɛ	deɡustare	deɡustaɾe	deɡustaɹe	deɡustere	deɡusteɾe
-	-	-	denostaɾ	duɨʃtaɹ	dɛhɔnɛstarɛ	denostaɾ	denostɹɾ	denosaaɾ	denosaɹɾ	denottaɾ
-	deʒɛksjɔ̃	-	-	-	dejɛktɪonɛm	deʒɛksjɔ				
-	deifje	deifikare	deɪfikaɾ	deɪfikaɹ	dɛɪfɪkarɛ	deifikare	deifikaɾe	deifikaɹe	deɪfikare	deɪfikaɾe
zeitate	deite	deita	-	deɪdadɨ	dɛɪtatɛm	deitate	deitatɨ	deitade	deitadɨ	deitete
-	delasjɔ̃	delatsione	delaθjon	dɨlɐsɐ̃ʊ̃	delatɪonɛm	delasjɔone	delasjɔnne	delasjione	delasjinne	delasjoone
-	delatœʁ	delatore	delatoɾ	dɨlɐtoɹ	delatorɛm	delatoʁe	delatore	delatoɾe	delatoɹe	delatœʁe
-	-	delɛbile	-	-	delebɪlɛm	delɛbile				
-	delɛktasjɔ̃	dilettatsione	delektaθjon	dɨleɪtɐsɐ̃ʊ̃	delɛktatɪonɛm	delektasjɔone	delektasjɔnne	delektasjione	delektasjinne	delektasjoone
-	delesjɔ̃	deletsione	-	-	deletɪonɛm	delesjɔone	delesjione	delessɔone	delessione	deletjɔone
-	delibeʁasjɔ̃	deliberatsione	deliβeɾaθjon	dɨlibeɾɐsɐ̃ʊ̃	delibɛratɪonɛm	delibeɾasjɔone	delibeɾasjɔnne	delibeɾasjione	delibeɾasjinne	delibeɾasjoone
-	delibeʁe	deliberare	deliβeɾaɾ	dɨlibɨɾaɹ	delibɛrarɛ	delibeɾare	delibeɾaɾe	delibeɾaɹe	delibeʁare	delibeʁaɾe
-	-	delitsia	deliθja	dɨlisjɐ	delɪkɪas	delitjia	delitjaa	delitjɐa	deliθjia	deliθjaa
-	-	delittore	-	-	delɪktorɛm	delittore				
-	deli	delitto	delito	delitʊ	delɪktʊm	delitto	delitoo	delitʊo		
-	delɛ̃kɑ̃s	delinkwɛntsa	delinkwɛnθja	dɨliŋkweɪŋsjɐ	delɪŋkwɛntɪam	delinkwɛntsaɐ	delinkwɛnθsaɐ	delinkwɛnŋsaɐ	delinkwɛntsjɐ	delinkwɛnθsjɐ
-	delɛ̃ke	delinkwere	delinkiɾ	dɨliŋkiɹ	delɪŋkwɛrɛ	delinkiere	delinkiɾre	delinkiɹre	delinkwere	delinkwɾre
-	-	dileɡware	-	dɨlikwaɹ	delɪkwarɛ	dileɡware	dileɡwaɹe	dilekware	dilekwaɹe	diliɡware
-	-	delubro	-	dɨlubɹʊ	delubrʊm	delubro	delubrʊ	delubɹo	delubɹʊ	dɨlubro
dimɨnda	dəmɑ̃de	domandare	demandaɾ	dɨmɐ̃ŋdaɹ	demandarɛ	dimandare	dimandaɾe	dimandaɹe	dəmandare	dəmandaɾe
-	-	dimentikare	dementaɾ	-	demɛntarɛ	dimentikare	dimentiɾare	dimentakare	dimentaɾare	dementikare
-	demɛtʁ	-	-	dɨmitiɹ	demɪttɛrɛ	demɛtʁɹ	demɛtiɹ	demitʁɹ	demitiɹ	dɨmɛtʁɹ
-	-	-	-	demʊ	demɛrɛ	demʊ				
-	demɔ̃stʁasjɔ̃	dimostratsione	demostɾaθjon	dɨmuŋstɹɐsɐ̃ʊ̃	demonstratɪonɛm	demostʁasjɔone	demostʁasjɔnne	demostʁasjɔʊne	demostʁasjione	demostʁasjinne
demonstra	demɔ̃tʁe	dimostrare	demostɾaɾ	dɨmuŋstɹaɹ	demonstrarɛ	demosstaae	demosstaaɹ	demosttaae	demosttaaɹ	demosstare
-	dəmøʁe	dimorare	demoɾaɾ	dɨmuɾaɹ	demɔrari	dəmoɾare	dəmoɾaɾe	dəmoɾaɹe	dimoɾare	dimoɾaɾe
-	-	-	-	dɨmuveɹ	demɔwerɛ	dɨmuveɹ				
-	demyte	-	demuðaɾ	dɨmudaɹ	demutarɛ	demutaɾ	demutaɹ	demuðaɾ	demuðaɹ	demudaɾ
deneɡa	denje	-	deneɣaɾ	dɨnɨɡaɹ	denɛɡarɛ	deneɡaɾ	deneɡaɹ	deneeaɾ	deneeaɹ	deneɣaɾ
denominatsje	denominasjɔ̃	denominatsione	denominaθjon	dɨnuminɐsɐ̃ʊ̃	denomɪnatɪonɛm	denominatsjene	denominatsjone	denominatsjnne	denominatsɔene	denominatsɔone
-	denominatœʁ	denominatore	denominaðoɾ	dɨnuminɐdoɹ	denomɪnatorɛm	denominatoʁe	denominatore	denominatoɾe	denominatoɹe	denominaðoʁe
-	denɔme	denominare	denominaɾ	dɨnuminaɹ	denomɪnarɛ	denominare	denominaɾe	denominaɹe	denɔminare	denɔminaɾe
ɨndesa	-	densare	densaɾ	-	densarɛ	densaae	densare	densaɾe	denssae	denssre
-	dɑ̃tal	dentale	dental	deɪŋtɑl	dɛntalɛm	dentale	dentall	dentaɑe	dentaɑl	dentlle
-	-	dentato	dentaðo	dentadʊ	dɛntatʊm	dentato	dentaðo	dentado	dentatʊ	dentaðʊ
-	-	dentifritʃo	dentifɾiko	dentifɹikʊ	dɛntɪfrɪkɪʊm	dentifrikʃo	dentifrikoo	dentifrikʊo	dentifɾikʃo	dentifɾikoo
-	denydasjɔ̃	denudatsione	denuðaθjon	dɨnudɐsɐ̃ʊ̃	denudatɪonɛm	denudasjɔone	denudasjɔnne	denudasjione	denudasjinne	denudasjoone
-	-	denudare	denuðaɾ	dɨnudaɹ	denudarɛ	denudare	denudaɾe	denudaɹe	denuðare	denuðaɾe
-	denɔ̃sjasjɔ̃	denuntʃatsione	denunθjaθjon	dɨnũŋsiɐsɐ̃ʊ̃	denʊntɪatɪonɛm	denunjaajɔione	denunjaajɔinne	denunjaajɔoone	denunjaajɔonne	denunjaajɔʊone
-	depaʁtiʁ	-	depaɾtiɾ	-	departirɛ	depaʁtiʁ	depaʁtiɾ	depaɾtiʁ	depaɾtiɾ	
depinde	depɑ̃dʁ	dipɛndere	dependeɾ	dɨpeɪŋdeɹ	depɛnderɛ	dependere	dependerɹ	dependeɾe	dependeɾɹ	dependeee
-	depɛʁdisjɔ̃	deperditsione	-	-	depɛrdɪtɪonɛm	depɛʁdisjɔone	depɛʁdisjione	depɛʁdissɔone	depɛʁdissione	depɛʁditjɔone
-	depeʁiʁ	deperire	despeɾeθeɾ	dɨpɨɾɨseɹ	depɛrirɛ	depeʁiʁeeɾ	depeʁiʁeɹɾ	depeʁireeɾ	depeʁireɹɾ	depeʁieeeɾ
-	depʁisjɔ̃	deperitsione	-	-	depɛrɪtɪonɛm	depʁisjɔione	depʁisjsione	depʁistɔione	depʁistsione	depʁiijɔione
-	deploʁe	deplorare	deploɾaɾ	-	deplorarɛ	deploʁare	deploʁaɾe	deplorare	deploraɾe	deploɾare
-	depɔʁte	deportare	depoɾtaɾ	dɨpuɾətaɹ	depɔrtarɛ	depoɾtare	depoɾtarɹ	depoɾtaɾe	depoɾtaɾɹ	depoɾtaae
-	depʁedasjɔ̃	depredatsione	-	-	depraɪdatɪonɛm	depʁedasjɔone	depʁedasjione	depʁedassɔone	depʁedassione	depʁedatjɔone
-	-	depredare	depɾeðaɾ	dɨpɹɨdaɹ	depraɪdari	depredare	depredaɾe	depredaɹe	depɾedare	depɾedaɾe
-	-	deprekare	depɾekaɾ	-	deprɛkari	deprekare	deprekaɾe	depɾekare	depɾekaɾe	
deprinde	-	disprɛndere	depɾeendeɾ	dɨpɹieɪŋdeɹ	deprɛhɛndɛrɛ	depriendere	deprienderɹ	depriendeɾe	depriendeɾɹ	depriendeee
-	depʁime	deprimere	depɾimiɾ	dɨpɹimiɹ	deprɪmɛrɛ	depʁimere	depʁimeɾe	depʁimeɹe	depʁimire	depʁimiɾe
-	depyʁe	depurare	depuɾaɾ	dɨpuɾaɹ	depurarɛ	depuɾare	depuɾaɾe	depuɾaɹe	depuʁare	depuʁaɾe
-	-	-	deɾelinkiɾ	-	derɛlɪŋkwɛrɛ	deɾelinkiɾ				
-	deʁizjɔ̃	derizione	-	-	derisɪonɛm	deʁizjɔne	deʁizjone	deʁiziɔne	deʁizione	derizjɔne
-	deʁizwaʁ	derizɔrio	-	-	derisorɪʊm	deʁizwaʁo	deʁizwaio	deʁizwrʁo	deʁizwrio	deʁizɔaʁo
deʃtiŋdʒe	dɛsɑ̃dʁ	diʃɛndere	desθendeɾ	-	deskɛndɛrɛ	deʃtiŋdʒe	deʃtiŋdre	deʃtiŋdee	deʃtiʁdʒe	deʃtiʁdre
-	-	diʃezo	-	-	deskensʊm	diʃezo				
-	dekʁiʁ	deskrivere	deskɾiβiɾ	deʃkɹɨveɹ	deskribɛrɛ	deskiivere	deskiiveɾe	deskiiveɹe	deskrivere	deskriveɾe
deskriptsje	dɛskʁipsjɔ̃	deskritsione	deskɾipθjon	deʃkɹisɐ̃ʊ̃	deskriptɪonɛm	deskripsjone	deskripsjoee	deskripsjjne	deskripsjɔne	deskripssone
-	-	-	desekaɾ	-	desɛkarɛ	desekaɾ				
-	dezɛʁsjɔ̃	dizertsione	deseɾθjon	dɨzɨɾəsɐ̃ʊ̃	desɛrtɪonɛm	dezeɾsjɔone	dezeɾsjɔnne	dezeɾsjɔʊne	dezeɾsjione	dezeɾsjinne
deʃert	dezɛʁ	dezɛrto	desjeɾto	dɨzɛɾətʊ	desɛrtʊm	dezɛrtto	dezɛrttʊ	dezɛrtoo	dezɛrtoʊ	dezɛrɾto
-	dɛsɛʁviʁ	-	-	-	desɛrwirɛ	dɛsɛʁviʁ				
-	dɛsikasjɔ̃	dissekkatsione	desekaθjon	dɨsɨkɐsɐ̃ʊ̃	desɪkkatɪonɛm	dɛsikasjɔsione	dɛsikasjɔnione	dɛsikasjtsione	dɛsikasjtnione	dɛsikasjosione
-	dɛseʃe	dissekkare	desekaɾ	dɨsɨkaɹ	desɪkkarɛ	dɛsekakare	dɛsekaɾare	dɛsekaɹare	disekakare	disekaɾare
deʃideɾa	deziʁe	deziderare	deseaɾ	dɨzɨʒaɹ	desidɛrarɛ	dezideɾare	deziderare	dezideɹare	deziʁeɾare	deziʁerare
-	-	dezidia	desiðja	dɨzidjɐ	desɪdɪam	dezidja	dezidjɐ	dezidia	deziðja	desidja
-	-	-	desiɡnaθjon	-	desɪŋnatɪonɛm	desiɡnaθjon				
desemna	-	-	-	dɨzɨɲaɹ	desɪŋnarɛ	desemna	desemnɹ	desemaa	desemaɹ	deseɲna
-	dezinɑ̃s	dezinɛntsa	-	-	desɪnɛntɪam	dezinɑstsa	dezinɑntsa	dezinɛstsa	dezinɛntsa	
-	deziste	-	desistiɾ	dɨziʃtiɹ	desɪstɛrɛ	dezistiɾ	dezistiɹ	dezisteɾ	dezisteɹ	deziʃtiɾ
-	dezolasjɔ̃	dezolatsione	desolaθjon	dɨzulɐsɐ̃ʊ̃	desolatɪonɛm	dezolasjɔone	dezolasjɔnne	dezolasjione	dezolasjinne	dezolasjoone
-	dezole	dezolare	desolaɾ	-	desolarɛ	dezolare	dezolaɾe	dezolere	dezoleɾe	desolare
-	-	dispettare	despetʃaɾ	dɨʃpeɪtaɹ	despɛktarɛ	dispettare	dispettaɾe	dispettaɹe	despettare	despettaɾe
-	-	disperatsione	desespeɾaθjon	dɨzɨʃpeɾɐsɐ̃ʊ̃	desperatɪonɛm	dispepeɾsione	dispepeɾsionn	dispepeɾsiooe	dispepeɾsioon	dispepeɾsioʊe
-	dezɛspeʁe	disperato	despeɾaðo	dɨʃpɨɾadʊ	desperatʊm	despeɾaʁo	despeɾato	despeɾaðo	despeɾado	despeɾaʁe
despeɾa	-	disperare	despeɾaɾ	-	desperarɛ	despeɾare	despeɾaɾe	desperare	desperaɾe	dispeɾare
-	-	-	despondeɾ	-	despɔnderɛ	despondeɾ				
-	-	dispozare	desposaɾ	dɨʃpuzaɹ	desponsarɛ	dispozare	dispozaɾe	dispozaɹe	despozare	despozaɾe
-	distile	distillare	destilaɾ	dɨʃtilaɹ	destɪllarɛ	distilaare	distilaɾre	distilaɹre	distileare	distileɾre
-	dɛstinasjɔ̃	-	destinaθjon	-	destɪnatɪonɛm	dɛstinasjɔn	dɛstinasjon	dɛstinaθjɔn	dɛstinaθjon	destinasjɔn
destina	dɛstine	destinare	destinaɾ	dɨʃtinaɹ	destɪnarɛ	destinare	destinaɾe	destinaɹe	dɛstinare	dɛstinaɾe
-	dɛstitye	destituire	destitwiɾ	dɨʃtituiɹ	destɪtʊɛrɛ	destituire	destituiɾe	destituiɹe	destityire	destityiɾe
-	-	distrutsione	destɾukθjon	deʃtɹuisɐ̃ʊ̃	destrʊktɪonɛm	destrutsione	destrutsjone	destrutsɐone	destruksione	destruksjone
distrudʒe	detʁyiʁ	distrudʒʒere	destɾuiɾ	deʃtɹuiɹ	destrʊɛrɛ	destrudʒeere	destrudʒʒere	destruiʒeere	destruiʒʒere	destrudɾeere
-	dezyltwaʁ	dezultɔrio	-	dɨzuwtɔɾjʊ	desʊltorɪʊm	dezultɔaʁo	dezultɔaʁʊ	dezultɔaio	dezultɔaiʊ	dezultɔajo
-	-	dezumere	-	dɨzumiɹ	desumɛrɛ	dezumere	dezumeɹe	dezumire	dezumiɹe	dɨzumere
detekta	detɛktɛʁdytʃ	-	detektaɾ	dɨtɛtaɹ	detɛɡɛrɛ	detektaʁdytʃ	detektaɾdytʃ	detɛktaʁdytʃ	detɛktaɾdytʃ	detektɛʁdytʃ
detentsjune	detɑ̃sjɔ̃	detentsione	detenθjon	dɨteɪŋsɐ̃ʊ̃	detɛntɪonɛm	detentsjune	detentsjone	detentsjnne	detentsjʊne	detentsiune
-	detɛʁʒe	detɛrdʒere	deteɾxeɾ	-	detɛrɡerɛ	detɛʁʒeere	detɛʁʒeɾre	detɛʁdeere	detɛʁdeɾre	detɛʁxeere
-	deteʁjoʁasjɔ̃	deterioratsione	deteɾjoɾaθjon	dɨtɨɾiuɾɐsɐ̃ʊ̃	detɛrɪoratɪonɛm	deteɾjoɾasjɔone	deteɾjoɾasjɔnne	deteɾjoɾasjione	deteɾjoɾasjinne	deteɾjoɾasjoone
-	-	determinatsione	deteɾminaθjon	-	detɛrmɪnatɪonɛm	determinatsione	determinatsinne	determinatsoone	determinatsonne	determinatjione
-	detɛʁmine	determinare	deteɾminaɾ	dɨtɨɾəminaɹ	detɛrmɪnarɛ	deteɾminare	deteɾminarɹ	deteɾminaɾe	deteɾminaɾɹ	deteɾminaae
-	detɛstasjɔ̃	detestatsione	detestaθjon	dɨtɨʃtɐsɐ̃ʊ̃	detɛstatɪonɛm	detestasjɔone	detestasjɔnne	detestasjione	detestasjinne	detestasjoone
-	detɛste	detestare	detestaɾ	dɨtɨʃtaɹ	detɛstari	detestare	detestaɾe	detestaɹe	detɛstare	detɛstaɾe
detsine	detniʁ	detenɛre	deteneɾ	dɨteɹ	detɪnerɛ	deteinee	deteinre	deteinɾe	deteiʁee	deteiʁre
-	-	detrarre	detɾaeɾ	dɨtɹɐiɹ	detrahɛrɛ	detrarre	detrarɾe	detrarɹe	detraere	detraeɾe
zeu	dø	dio	djos	deʊʃ	dɛʊm	deos	deoʃ	deus	deuʃ	deʊs
devenʲi	dəvniʁ	divenire	deβeniɾ	dɨviɹ	dewɛnirɛ	deveniie	devenire	deveniɾe	devenʲie	devenʲre
-	devjasjɔ̃	devjatsione	-	-	dewɪatɪonɛm	devjasjɔone	devjasjione	devjassɔone	devjassione	devjatjɔone
-	devje	devjare	desβjaɾ	-	dewɪarɛ	devjere	devjerɾ	devjeae	devjeaɾ	devjare
-	-	devolvere	deβolβeɾ	dɨvulveɹ	dewɔlwɛrɛ	devolvere	devolveɾe	devolveɹe	devolβere	devolβeɾe
-	devoʁasjɔ̃	divoratsione	deβoɾaθjon	dɨvuɾɐsɐ̃ʊ̃	dewɔratɪonɛm	devoɾasjɔone	devoɾasjɔnne	devoɾasjione	devoɾasjinne	devoɾasjoone
-	-	-	-	dɨvutɐsɐ̃ʊ̃	dewotatɪonɛm	dɨvutɐsɐʊ				
-	devwe	-	deβoβeɾ	-	dewɔwerɛ	devweeɾ	devwβeɾ	devoeeɾ	devoβeɾ	deβweeɾ
dekstru	dɛkstʁ	dɛstro	djestɾo	dɛʃtɹʊ	dɛkstrʊm	dɛkstru	dɛkstro	dɛkstʁu	dɛkstʁo	dɛkstou
deksteɾitate	dɛksteʁite	desterita	desteɾiðad	dɨʃtɨɾidadɨ	dɛkstɛrɪtatɛm	dektteiiadte	dektteiiadɨe	dekttɾiiadte	dekttɾiiadɨe	dekteeiiadte
-	djabolik	djabɔliko	djaβoliko	-	dɪabɔlɪkʊm	djaboliko	djabɔliko	djaβoliko	djaβɔliko	
-	-	djavolo	djaβlo	diabʊ	dɪabɔlʊm	djavolo	djavooo	djavllo	djavloo	djavʊlo
djalekt	djalɛkt	djalɛtto	djalekto	diɐlɛtʊ	dɪalɛktɔn	djalɛkto	djalɛtto	djalekto	djaletto	djalɛkʊo
-	-	-	djaɾjo	-	dɪarɪʊm	djaɾjo				
-	-	dikatʃe	dikaθ	dikaʃ	dɪkakɛm	dikatʃe	dikaθʃe	dikaʃʃe		
-	disjɔ̃	-	-	-	dɪkɪonɛm	disjɔ				
-	diktamɛn	-	diktamen	-	dɪktamɛn	diktamɛn	diktamen			
-	-	dittamo	-	-	dɪktamnʊm	dittamo				
diktsie	diksjɔ̃	ditsione	dikθjon	disɐ̃ʊ̃	dɪktɪonɛm	diksjone	diksjoee	diksjine	diksjɔne	dikssone
-	di	detto	ditʃo	ditʊ	dɪktʊm	ditto	ditʃo	ditʊo	detto	detʃo
-	difamatwaʁ	diffamatɔrio	difamatoɾjo	difɐmɐtɔɾjʊ	dɪffamatorɪʊm	difamatwɾjio	difamatwɾjoo	difamatwɾjʊo	difamattɾjio	difamattɾjoo
defəima	difame	diffamare	difamaɾ	difɐmaɹ	dɪffamarɛ	difammare	difamaare	difammɾre	difammɹre	difamaɾre
-	difeʁe	differire	difeɾiɾ	difɨɾiɹ	dɪffɛrrɛ	difeɾiire	difeɾiɾre	difeɾiɹre	difeɾeire	difeɾeɾre
-	defjɑ̃s	-	-	-	dɪffidɛntɪam	defjɑs				
-	diflye	-	difluiɾ	difluiɹ	dɪfflʊɛrɛ	difluiɾ	difluiɹ	diflueɾ	diflueɹ	diflyiɾ
-	difɔ̃dʁ	diffondere	difundiɾ	difũŋdiɹ	dɪffʊndɛrɛ	difuddiere	difuddiɾre	difuddiɹre	difuodiere	difuodiɾre
-	diʒɛstif	didʒestivo	dixestiβo	diʒɨʃtivʊ	diɡɛstiwʊm	diʒɛstifvo	diʒɛstifoo	diʒɛstifʊo	diʒɛstiivo	diʒɛstiioo
didʒital	diʒital	didʒitale	dixital	diʒitɑl	dɪɡɪtalɛm	didittlle	diditalle	diʒittlle	diʒitalle	didittale
-	-	didʒitare	dixitaɾ	diʒitaɹ	dɪɡɪtarɛ	diditaare	diditaɾre	diditaɹre	dixitaare	dixitaɾre
-	-	deɲatsione	diɡnaθjon	diɡnɐsɐ̃ʊ̃	dɪŋnatɪonɛm	diɡntsione	diɡntsjone	diɡntsɐone	diɡnasione	diɡnasjone
-	dɛɲe	deɲare	diɡnaɾ	diɡnaɹ	dɪŋnarɛ	diɲnae	diɲnaɾ	diɲnaɹ	diɡnae	diɡnaɾ
-	-	dilatʃerar	dilaθeɾaɾ	dilɐsɨɾaɹ	dilakɛrarɛ	dilatʃɾaar	dilatʃɾaɾr	dilatʃɾaɹr	dilateɾaar	dilateɾaɾr
-	-	diletsione	-	-	dilektɪonɛm	diletsione				
-	diliʒɑ̃s	-	dilixɛnθja	-	dilɪɡɛntɪam	diliʒɑsθja	diliʒɑnθja	diliʒɛsθja	diliʒɛnθja	dilixɑsθja
-	-	dilidʒere	-	-	dilɪɡɛrɛ	dilidʒere				
-	dilye	diluire	diluiɾ	diluiɹ	dilʊɛrɛ	diluire	diluiɾe	diluiɹe	diluere	dilueɾe
-	-	-	dimanaɾ	dimɐnaɹ	dimanarɛ	dimanaɾ	dimanaɹ	dimɐnaɾ	dimɐnaɹ	
-	dimɑ̃sjɔ̃	dimensione	dimensjon	dimeɪŋsɐ̃ʊ̃	dimɛnsɪonɛm	dimensɔone	dimensione	dimensjone	dimenssone	dimensɔoʊe
-	dimidje	-	-	-	dimɪdɪʊm	dimidje				
-	diminye	diminuire	disminwiɾ	diminuiɹ	dimɪnʊɛrɛ	diminuire	diminuirɾ	diminuiie	diminuiiɾ	diminuiɹe
-	-	dimettere	dimitiɾ	-	dimɪttɛrɛ	dimettere	dimettɾre	dimetiere	dimetiɾre	dimittere
-	-	dioniziako	djonisiako	-	dɪɔnysɪakʊm	dioniziako	dionisiako	djoniziako	djonisiako	
-	diftɔ̃ɡ	dittɔŋɡo	dipptoŋɡo	ditoŋɡʊ	dɪpʰtʰɔŋɡʊm	dittɔɡɡoo	dittɔɡɡɡo	dittɔɡŋoo	dittɔɡŋɡo	dittɔɡʊoo
-	dʁwatyʁ	-	deɾetʃuɾa	diɾeɪtuɾɐ	dirɛkturam	dʁɾetyuɾa	dʁɾetyuɾɐ	dʁɾetʃuɾa	dʁɾetʃuɾɐ	dʁɾettuɾa
-	diʁime	dirimere	diɾimiɾ	diɾimiɹ	dɪrɪmɛrɛ	diɾimere	diɾimeɾe	diɾimeɹe	diɾimire	diɾimiɾe
-	deʁɔ̃pʁ	dirompere	-	-	dirʊmpɛrɛ	deʁɔpʁere	deʁɔppere	deʁɔmʁere	deʁɔmpere	deʁopʁere
-	dəʁye	-	deruiɾ	dɨʁuiɹ	dirʊɛrɛ	dəʁuiɾ	dəʁuiɹ	deʁuiɾ	deʁuiɹ	dɨʁuiɾ
-	dis	-	-	-	ditɛm	dis				
destʃiŋdʒe	-	diʃindʒere	desθeɲiɾ	-	dɪskɪŋɡɛrɛ	destʃiŋdʒe	destʃiŋdre	destʃiŋeʒe	destʃiŋere	destʃiŋɾʒe
-	-	diskrepantsa	diskɾepanθja	diʃkɹɨpɐ̃ŋsjɐ	dɪskrɛpantɪam	diskrepantja	diskrepanθja	diskrepansja	diskɾepantja	diskɾepanθja
-	-	diskrepare	diskɾepaɾ	-	dɪskrɛparɛ	diskrepare	diskrepaɾe	diskɾepare	diskɾepaɾe	
