word,language,top_1_transformation,top_1_score,top_2_transformation,top_2_score
diɐ̃mbulɐsɐ̃ʊ̃,portuguese,diɐ̃mbulɐsɐ̃ʊ̃,-4.915231521983127,,
doʁe,french,daʊʁaaa,-4.638487315854232,doʁaa,-4.651671144737161
dorare,italian,dʊmrare,-5.114681381473177,dʊmrarea,-5.296690950832253
doɾaɾ,spanish,dʊmɾaɾ,-4.0592724400426174,doɾaɾ,-4.401428110133996
duwɾaɹ,portuguese,duwɾaɹ,-4.895520464243235,,
dɨbɐkaɹ,portuguese,dɨbɐkaɹ,-1.8594379124341003,,
debellare,italian,debellare,-2.3697952701710547,,
deβelaɾ,spanish,deβelaɾ,-2.3275863951994626,,
dəvwaʁ,french,dəvwaʁ,-5.922474607668354,,
dovere,italian,dʊmverea,-4.985953102080545,dʊmvere,-5.1692469360053135
deβeɾ,spanish,deβeɾ,-5.47440222437867,,
dɨveɹ,portuguese,dɨveɹ,-4.334694840477245,,
deβiliðad,spanish,deβiliðad,-2.042582358962638,,
debilite,french,debilpta,-1.8747527269682531,debilptaa,-1.9677218250338993
deβilitaɾ,spanish,deβilitaɾ,-2.7469028401207085,,
deblateʁe,french,deblataʁa,-1.2719568419318752,deplataʁa,-1.2719568419318752
dekalvatsione,italian,dekalvatsiʊmne,-3.6982565376654652,dekalvatsiʊmnea,-3.774130054559154
dekalβaθjon,spanish,dekalβaθjʊmn,-3.641119218090936,dekalβaθliʊmn,-3.7095717898565623
dɨkɑlvɐsɐ̃ʊ̃,portuguese,dɨkɑlvɐsɐ̃ʊ̃,-4.071711992499768,,
desede,french,deseda,-2.2435116799646386,desedaa,-2.296902840120709
detʃedere,italian,detʃedere,-2.4338376364981498,,
detʃempeda,italian,detʃempeda,-1.1594379124341003,,
desɛptif,french,desɛptif,-2.291595637938797,dasɛptif,-2.5914770012763944
detʃettivo,italian,detʃettivo,-2.71209628847913,,
detʃettɔrio,italian,detʃettɔrio,-2.845732273553991,,
deθepptoɾjo,spanish,deθepptoɾjʊm,-2.2504195369098445,deθepptʊmɾjʊm,-2.3532453678815353
desɛʁne,french,desɛʁna,-2.253690185777967,desɛʁnaa,-2.296956153596623
detʃɛrnere,italian,detʃɛrnere,-2.5927317247372876,,
ditʃevole,italian,ditʃevole,-1.9594379124341001,,
zetʃimal,romanian,zetʃimal,-4.492150492138775,,
desimal,french,desimal,-3.52903075317204,dasimal,-3.723500446488199
detʃimale,italian,detʃimale,-4.119107000396259,,
deθimal,spanish,deθimal,-3.811576889425039,,
dɨsimɑl,portuguese,dɨsimɑl,-4.261427731902723,,
desimasjɔ̃,french,desimasliɔ̃,-2.6211245335336057,desimasjɔ̃,-2.673981918973314
detʃimatsione,italian,detʃimatsione,-3.0405437300933964,,
detʃima,romanian,detʃima,-3.1988276986661797,,
desime,french,desima,-3.554184314450069,desimaa,-3.7161736852554044
detʃimare,italian,detʃimare,-4.022733383788728,,
djeθmaɾ,spanish,dlieθmaɾ,-5.641162045748526,djeθmaɾ,-5.8375880016849555
dizimaɹ,portuguese,dizimaɹ,-4.546353697537013,,
dim,french,dim,-4.188147184880494,,
dɛtʃimo,italian,dɛtʃimo,-5.059315458721664,,
djeθmo,spanish,dlieθmʊm,-4.093009734203381,djeθmʊm,-4.128167542543688
dizimʊ,portuguese,dizimʊ,-4.198385242505335,,
desəvwaʁ,french,desəvwaʁ,-3.6963848096660654,dasəvwaʁ,-4.240800914299191
deθepθjonaɾ,spanish,deθepθjʊmnaɾ,-4.263251940167271,deθepθjaʊnaɾ,-4.604349706840469
dɨsɨpsiunaɹ,portuguese,dɨsɨpsiunaɹ,-3.7421708013813912,,
deklame,french,daklama,-2.6740068701935513,deklamaa,-2.787227813346366
deklamare,italian,deklamare,-3.486983884958259,deklamarea,-3.5282441776362132
deklamaɾ,spanish,deklamaɾ,-3.011275404368752,,
dɨklɐmaɹ,portuguese,dɨklɐmaɹ,-3.275093598784093,,
deklina,romanian,deklina,-3.930612671931539,,
dekline,french,daklina,-3.927706842882393,deklina,-3.930612671931539
deklinare,italian,deklinarea,-4.8796152524434415,deklinare,-4.910539402231796
deklinaɾ,spanish,deklinaɾ,-4.27889688398073,,
dɨklinaɹ,portuguese,dɨklinaɹ,-4.64742305283506,,
dekliv,french,dekliv,-2.1572749131897204,dakliv,-2.2149030205422644
dekɔksjɔ̃,french,dekɔksliɔ̃,-4.089843943630554,dekɔksjɔ̃,-4.20689802829372
dekotsione,italian,dekʊmtsiʊmne,-4.542482867064416,dekotsiʊmnea,-4.6750240315483556
dekokθjon,spanish,dekʊmkθjʊmn,-4.007626979286938,dekaʊkθjʊmn,-4.11550943365123
dɨkusɐ̃ʊ̃,portuguese,dɨkusɐ̃ʊ̃,-4.705060186444067,,
deɣoʎaɾ,spanish,deɣaʊʎaɾ,-2.8523608805734515,deɣʊmʎaɾ,-3.038536006683396
dɨɡulaɹ,portuguese,dɨɡulaɹ,-2.9095516246298434,,
dekoʁe,french,dekaʊʁaa,-3.67841509521504,dekaʊʁa,-3.811739009489017
dekorare,italian,dekaʊrare,-4.27319101599576,dekaʊrarea,-4.288793647056835
dekoɾaɾ,spanish,dekʊmɾaɾ,-3.6160440454656886,dekaʊɾaɾ,-3.7068964082608855
dɨkuɾaɹ,portuguese,dɨkuɾaɹ,-3.6398033571260315,,
dekɔʁtike,french,dekɔʁtika,-1.4107312068216507,dekɔʁtikaa,-1.550792030739832
dekremento,italian,dekrementʊm,-1.4135332687776154,dekrementʊma,-1.61425928772351
dekɾemɛnto,spanish,dekɾemɛntʊm,-1.3887639602482562,dekɾemɛntʊma,-1.5956199813678191
dekʁetal,french,dakʁatal,-3.3756123208463333,dekʁetal,-3.4068615678421037
dekretale,italian,dekretale,-3.80500883604382,dekretalea,-3.8107894699252394
dekɾetal,spanish,dekɾetal,-3.422609924810243,,
dɨkɹɨtɑl,portuguese,dɨkɹɨtɑl,-3.6170400736554322,,
dekret,romanian,dekret,-4.244565358903888,,
dekʁɛ,french,dekʁɛ,-4.973932991593614,dakʁɛ,-5.022243919116425
dekrɛto,italian,dekrɛtʊm,-3.301452538472452,dekrɛtʊma,-3.892531939354148
dekɾeto,spanish,dekɾetʊm,-3.9215862527491003,dekɾetʊma,-4.463013119139172
dɨkɹɛtʊ,portuguese,dɨkɹɛtʊ,-4.179505953333739,,
dekɔrrere,italian,dekɔrrerea,-3.4553531207528376,dekɔrrere,-3.5112477175156567
dekoreɾse,spanish,dekaʊreɾse,-3.5709890200077243,dekoreɾse,-3.8277192874302
dɨkuʁeɹ,portuguese,dɨkuʁeɹ,-3.940083882850818,,
dɨkusɨ,portuguese,dɨkusɨ,-1.8094379124341002,,
dɨkusaɹ,portuguese,dɨkusaɹ,-1.8594379124341003,,
deda,romanian,deda,-1.1094379124341003,,
deduktsie,romanian,deduktsie,-4.630394517934895,deduktslie,-4.651598743010743
dedyksjɔ̃,french,dedyksliɔ̃,-4.878301303994824,dedyksjɔ̃,-5.2184989399722
dedutsione,italian,dedutsiʊmne,-4.451151156056765,dedutsiʊmnea,-4.504073508764543
deðukθjon,spanish,deðukθjʊmn,-4.9707916129416,deðukθliʊmn,-5.294487443418642
dɨdusɐ̃ʊ̃,portuguese,dɨdusɐ̃ʊ̃,-5.580197303831406,,
defɛksjɔ̃,french,defɛksliɔ̃,-3.986483428639395,defɛksjɔ̃,-4.050893779817139
defetsione,italian,defetsiʊmnea,-4.78953919118873,defetsiʊmne,-4.814951055601613
defekθjon,spanish,defekθjʊmn,-4.158297674749089,defekθliʊmn,-4.441601144953456
dɨfɛsɐ̃ʊ̃,portuguese,dɨfɛsɐ̃ʊ̃,-4.629871249965003,,
defɑ̃s,french,defɑ̃s,-4.554536276164214,dafɑ̃s,-4.6797969810650315
difeza,italian,difeza,-3.6099653098670483,difezaa,-4.109755413733428
defɛnsa,spanish,defɛnsa,-3.4488250469207915,,
defezɐ,portuguese,defezɐ,-4.2399033457980755,,
difensione,italian,difensiʊmnea,-3.1094300673397455,difensioneʊm,-3.1319479064355535
defensjon,spanish,defensjʊmn,-3.0079343210285336,defensliʊmn,-3.0754786306794433
dɨfeɪŋsɐ̃ʊ̃,portuguese,dɨfeɪŋsɐ̃ʊ̃,-3.8313947543659754,,
defɑ̃sœʁ,french,dafɑ̃sœʁ,-4.87696072951868,defɑ̃sœʁ,-4.941333293766723
difensore,italian,difensʊmrea,-4.300247192468463,difensʊmre,-4.302937159091263
defensoɾ,spanish,defensʊmɾ,-3.845800511085442,defensoɾ,-3.89710670676683
dɨfeɪŋsoɹ,portuguese,dɨfeɪŋsoɹ,-4.889382445450089,,
defeʁe,french,defeʁaia,-3.994015757351168,defeʁaid,-4.081027134340799
deferire,italian,deferire,-4.243137659853264,deferirea,-4.279581828663935
defeɾiɾ,spanish,defeɾiɾ,-3.753785669728982,,
dɨfɨɾiɹ,portuguese,dɨfɨɾiɹ,-3.981840213754455,,
defɛʁ,french,defɛʁ,-1.6334905611040789,dafɛʁ,-1.7594379124341002
defluire,italian,defluirea,-2.347660639803115,defluire,-2.459260036932778
dɨfluiɹ,portuguese,dɨfluiɹ,-2.5437471498109336,,
deformatsje,romanian,deformatsje,-4.800050179524877,defaʊrmatsje,-4.809747800500855
defɔʁmasjɔ̃,french,defɔʁmasjɔ̃,-5.103038442817045,dafɔʁmasjɔ̃,-5.220547028024887
deformatsione,italian,defaʊrmatsiʊmne,-5.381729876618861,deformatsione,-5.409643197001489
defoɾmaθjon,spanish,defoɾmaθjʊmn,-5.04855756487652,defaʊɾmaθjʊmn,-5.119830195908629
dɨfuɾəmɐsɐ̃ʊ̃,portuguese,dɨfuɾəmɐsɐ̃ʊ̃,-6.3709621751422665,,
deforme,italian,defʊmrme,-3.2108690055938442,defʊmrmea,-3.2217539751252895
defoɾme,spanish,defʊmɾme,-3.1965551632885743,defoɾme,-3.2839339615020045
dɨfɔɾəmɨ,portuguese,dɨfɔɾəmɨ,-3.5095444974393164,,
deformita,italian,defʊmrmitaid,-2.891266734456016,defʊmrmitaa,-2.919476675443755
defoɾmiðad,spanish,defoɾmiðad,-3.04888481443078,defʊmɾmiðad,-3.0696070267254614
dɨfuɾəmidadɨ,portuguese,dɨfuɾəmidadɨ,-3.200578186263509,,
defraudatsione,italian,defraudatsione,-3.8539957801778613,defraudatsionea,-3.9030141322795613
defɾaʊðaθjon,spanish,defɾaʊðaθliʊmn,-4.092716205993872,defɾaʊðaθjʊmn,-4.243781834942552
dɨfɹaʊdɐsɐ̃ʊ̃,portuguese,dɨfɹaʊdɐsɐ̃ʊ̃,-4.549612828836177,,
deʒeneʁe,french,daʒanaʁa,-2.806614661098031,deʒeneʁaa,-2.863015434168723
dexeneɾaɾ,spanish,dexeneɾaɾ,-3.1098311979334925,,
dɨʒɨnɨɾaɹ,portuguese,dɨʒɨnɨɾaɹ,-2.9996939452907085,,
deɡʁadasjɔ̃,french,deɡʁadasliɔ̃,-4.297054536504618,deɡʁadasjɔ̃,-4.372611070494381
deɡradatsione,italian,deɡradatsiʊmne,-4.972498537837957,deɡradatsiʊmnea,-5.098730846673705
deɣɾaðaθjon,spanish,deɣɾaðaθjʊmn,-5.174283874234098,deɣɾaðaθliʊmn,-5.582557098815375
dɨɡɹɐdɐsɐ̃ʊ̃,portuguese,dɨɡɹɐdɐsɐ̃ʊ̃,-5.7837235219267225,,
deɡusta,romanian,deɡusta,-2.4747754808944435,,
deɡyste,french,deɡysta,-3.1005183526525752,deɡystaa,-3.1475250877579337
deɡustare,italian,deɡustare,-3.4317101320574532,deɡustarea,-3.579287425588797
deɣustaɾ,spanish,deɣustaɾ,-3.3715726787803195,,
dɨɡuʃtaɹ,portuguese,dɨɡuʃtaɹ,-3.999763470716015,,
denostaɾ,spanish,denʊmstaɾ,-2.438786780275392,denostaɾ,-2.5517171477546965
duɨʃtaɹ,portuguese,duɨʃtaɹ,-2.7151040224918206,,
deʒɛksjɔ̃,french,deʒɛksjɔ̃,-1.7607312068216505,deʒɛksliɔ̃,-1.8107312068216506
deifje,french,deifliaaa,-3.634108089338895,deifgaaa,-3.7034962484279137
deifikare,italian,deifikare,-3.502949479175051,deifikarea,-3.538069698304708
deɪfikaɾ,spanish,deɪfikaɾ,-3.025356010196226,,
deɪfikaɹ,portuguese,deɪfikaɹ,-3.0359585191554905,,
zeitate,romanian,zeitate,-4.531120469365436,zelitate,-4.930487993972381
deite,french,deita,-3.0408095403518427,depta,-3.140367016521711
deita,italian,deita,-3.0408095403518427,deitaa,-3.2483140522775322
deɪdadɨ,portuguese,deɪdadɨ,-4.05512814166045,,
delasjɔ̃,french,delasliɔ̃,-4.143026731098541,dalasjɔ̃,-4.219992175077823
delatsione,italian,delatsiʊmnea,-4.531857313924588,delatsiʊmne,-4.556383940041094
delaθjon,spanish,delaθjʊmn,-4.138081021831354,delaθliʊmn,-4.343631282013035
dɨlɐsɐ̃ʊ̃,portuguese,dɨlɐsɐ̃ʊ̃,-4.9442438142130465,,
delatœʁ,french,delatœʁ,-3.8996004854295894,dalatœʁ,-3.983122929340184
delatore,italian,delatore,-4.430250435272626,delatorea,-4.469544567566989
delatoɾ,spanish,delatoɾ,-3.9820767072538272,delatʊmɾ,-4.030538560293247
dɨlɐtoɹ,portuguese,dɨlɐtoɹ,-4.349828619834003,,
delɛbile,italian,delɛbilea,-1.4772209480904839,delɛbileʊm,-1.527220948090484
delɛktasjɔ̃,french,delɛktasliɔ̃,-3.8326535142271414,dalɛktasjɔ̃,-3.8922642441819586
dilettatsione,italian,dileptatsione,-4.6516071948042566,dileptatsiʊmne,-4.691194382728426
delektaθjon,spanish,delektaθjʊmn,-4.160051228242119,delektaθliʊmn,-4.304630318816911
dɨleɪtɐsɐ̃ʊ̃,portuguese,dɨleɪtɐsɐ̃ʊ̃,-4.565123074915488,,
delesjɔ̃,french,delesjɔ̃,-2.5151040224918204,delasjɔ̃,-2.521003744619009
deletsione,italian,deletsiʊmnea,-2.3135984385313764,deletsiʊmne,-2.4580290672088543
delibeʁasjɔ̃,french,delibeʁasjɔ̃,-4.857565275086926,delibeʁasliɔ̃,-4.974920800480631
deliberatsione,italian,deliberatsiʊmne,-5.65191278920415,deliberatsiʊmnea,-5.752139721874521
deliβeɾaθjon,spanish,deliβeɾaθjʊmn,-5.168145915043306,deliβeɾaθliʊmn,-5.346172415418217
dɨlibeɾɐsɐ̃ʊ̃,portuguese,dɨlibeɾɐsɐ̃ʊ̃,-5.789869104020087,,
delibeʁe,french,delibeʁaa,-4.24346619640809,delibeʁaɨa,-4.4153582723755935
deliberare,italian,deliberarea,-4.556986693211188,deliberare,-4.585521180447904
deliβeɾaɾ,spanish,deliβeɾaɾ,-4.662459067895041,,
dɨlibɨɾaɹ,portuguese,dɨlibɨɾaɹ,-5.227562339871893,,
delitsia,italian,delitsia,-3.474074300177168,delitsiaa,-3.8051238490688197
deliθja,spanish,deliθja,-3.640660450945219,deliθlia,-4.321372160564371
dɨlisjɐ,portuguese,dɨlisjɐ,-4.423719125806681,,
delittore,italian,delictorea,-1.5161128563728328,deliptorea,-1.5161128563728328
deli,french,deli,-5.5681712121083,dali,-6.899541694341904
delitto,italian,delictʊm,-3.3907625571792344,deliptʊm,-3.4608541156686625
delito,spanish,delitʊm,-4.201532702584334,delitaʊʊm,-4.493155928961994
delitʊ,portuguese,delctʊ,-3.8019536126888216,delqʊtʊ,-3.8149202707405623
delɛ̃kɑ̃s,french,dalɛ̃kɑ̃s,-4.8110698420143345,delɛ̃kɑ̃s,-4.997066253061621
delinkwɛntsa,italian,delinkwɛntsa,-4.372712865916843,delinkwɛntsaa,-4.6637628972910665
delinkwɛnθja,spanish,delinkwɛnθja,-4.937663966484175,delinkwɛnθlia,-5.328208994255656
dɨliŋkweɪŋsjɐ,portuguese,dɨliŋkweɪŋsjɐ,-6.132872989374535,,
delɛ̃ke,french,dalɛ̃kaer,-3.7679226614543895,dalɛ̃kais,-3.8079967127834564
delinkwere,italian,delinkwerea,-5.406920481247123,delinkwere,-5.415626804234334
delinkiɾ,spanish,delinkiɾ,-4.977443703209492,,
dɨliŋkiɹ,portuguese,dɨliŋkiɹ,-6.020347491530895,,
dileɡware,italian,dileɡwarea,-2.491847160327553,dileɡwareʊm,-2.596356565995925
dɨlikwaɹ,portuguese,dɨlikwaɹ,-3.0914318100412608,,
delubro,italian,delubrʊm,-1.7637583935921708,delubrʊma,-2.0414770012763945
dɨlubɹʊ,portuguese,dɨlubɹʊ,-2.3552408889241137,,
dimɨnda,romanian,dimɨnda,-3.2672300320796017,dlimɨnda,-4.171638793363568
dəmɑ̃de,french,dəmɑ̃da,-4.160917762047916,dəmɑ̃daa,-4.477980547296961
domandare,italian,domandare,-4.590299480329272,dʊmmandare,-4.682426780796166
demandaɾ,spanish,demandaɾ,-3.8970046815665174,,
dɨmɐ̃ŋdaɹ,portuguese,dɨmɐ̃ŋdaɹ,-4.914715885945311,,
dimentikare,italian,dimentikarea,-2.2340266188288647,dimentikare,-2.3865129217412915
dementaɾ,spanish,dementaɾ,-2.009757330682976,,
demɛtʁ,french,damɛtʁ,-2.447015241839235,demɛtʁ,-2.748388069484059
dɨmitiɹ,portuguese,dɨmctiɹ,-2.247015241839235,dɨmitiɹ,-2.497015241839235
demɔ̃stʁasjɔ̃,french,demɔ̃stʁasjɔ̃,-4.351912558889943,damɔ̃stʁasjɔ̃,-4.442603515508974
dimostratsione,italian,dimʊmstratsione,-5.3238860985735394,dimostratsione,-5.4013640006002515
demostɾaθjon,spanish,demʊmstɾaθjʊmn,-4.48349097433484,demʊmstɾaθjon,-4.515101412034206
dɨmuŋstɹɐsɐ̃ʊ̃,portuguese,dɨmuŋstɹɐsɐ̃ʊ̃,-5.001704467742499,,
demonstra,romanian,demaʊnstra,-4.0985982776603755,demonstra,-4.16300862883812
demɔ̃tʁe,french,demɔ̃tʁa,-4.512933015177875,damɔ̃tʁa,-4.565094267185785
dimostrare,italian,dimʊmstrare,-4.610265464575141,dimaʊstrare,-4.653060048189831
demostɾaɾ,spanish,demʊmstɾaɾ,-3.716383756932892,demaʊstɾaɾ,-4.1250677802501805
dɨmuŋstɹaɹ,portuguese,dɨmuŋstɹaɹ,-4.2727440367437985,,
dəmøʁe,french,dəmøʁa,-4.134862886220233,dəmøʁaa,-4.339013566047492
dimorare,italian,dimaʊrare,-4.644560815504198,dimaʊrarea,-4.6661392173586655
demoɾaɾ,spanish,demʊmɾaɾ,-4.138169224485613,demaʊɾaɾ,-4.2401948878789355
dɨmuɾaɹ,portuguese,dɨmuɾaɹ,-3.8495238881081004,,
dɨmuveɹ,portuguese,dɨmuveɹ,-1.9929693050586228,,
demyte,french,damyta,-2.833965045057573,demytaa,-2.936084574561651
demuðaɾ,spanish,demuðaɾ,-2.8830734554150528,,
dɨmudaɹ,portuguese,dɨmudaɹ,-2.9727495457939552,,
deneɡa,romanian,deneɡa,-2.9755296349135776,,
denje,french,danlia,-3.444163142636768,denliaa,-3.4540118603860948
deneɣaɾ,spanish,deneɣaɾ,-3.520509363338814,,
dɨnɨɡaɹ,portuguese,dɨnɨɡaɹ,-3.6323126853968732,,
denominatsje,romanian,denaʊminatsje,-3.9083946485332506,denominatsje,-3.9591488025523844
denominasjɔ̃,french,danominasjɔ̃,-3.7443047367178117,denominasjɔ̃,-3.981746808187415
denominatsione,italian,denominatsiʊmne,-4.6648412143370575,denaʊminatsiʊmne,-4.741094071527307
denominaθjon,spanish,denʊmminaθjʊmn,-4.236043940413992,denaʊminaθjʊmn,-4.2647443928930935
dɨnuminɐsɐ̃ʊ̃,portuguese,dɨnuminɐsɐ̃ʊ̃,-4.705932444978837,,
denominatœʁ,french,danominatœʁ,-3.2822196367634566,danaʊminatœʁ,-3.3397668423988396
denominatore,italian,denʊmminatore,-3.8817841035089184,denʊmminatorea,-4.004879393921355
denominaðoɾ,spanish,denʊmminaðoɾ,-3.5055480025841956,denʊmminaðʊmɾ,-3.657177350066417
dɨnuminɐdoɹ,portuguese,dɨnuminɐdoɹ,-3.7426362242962266,,
denɔme,french,danɔma,-3.3685638374333227,denɔma,-3.567901076791455
denominare,italian,denʊmminarea,-3.457922551467793,denʊmminare,-3.4676536000611216
denominaɾ,spanish,denʊmminaɾ,-3.0811617281358137,denaʊminaɾ,-3.2565577510671204
dɨnuminaɹ,portuguese,dɨnuminaɹ,-3.189805394325477,,
ɨndesa,romanian,ɨndesa,-3.553695701828714,,
densare,italian,densare,-3.1138098495905346,densareɨa,-3.1434619744231433
densaɾ,spanish,densaɾ,-2.8419777738741354,,
dɑ̃tal,french,dɑ̃tal,-4.151334425643034,,
dentale,italian,dentale,-3.750044993923699,dentalea,-3.877547149975691
dental,spanish,dental,-3.145291592017613,,
deɪŋtɑl,portuguese,deɪŋtɑl,-4.323084099040432,,
dentato,italian,dentatʊm,-1.688046571856474,dentatʊma,-2.0869393753531518
dentaðo,spanish,dentaðʊm,-1.6970152418392346,dentaðʊma,-2.096956153596623
dentadʊ,portuguese,dentadʊ,-2.091455867383039,,
dentifritʃo,italian,dentifritʃo,-2.8353842163851257,,
dentifɾiko,spanish,dentifɾikʊm,-1.8904380930413143,dentifɾikʊma,-2.156337454993605
dentifɹikʊ,portuguese,dentifɹikʊ,-2.357443511313299,,
denydasjɔ̃,french,denydasliɔ̃,-4.090176608386701,denydasjɔ̃,-4.160804596175316
denudatsione,italian,denudatsiʊmne,-4.252373283683291,denudatsiʊmnea,-4.4000878557394
denuðaθjon,spanish,denuðaθliʊmn,-4.177136310198305,denuðaθjʊmn,-4.220788878424997
dɨnudɐsɐ̃ʊ̃,portuguese,dɨnudɐsɐ̃ʊ̃,-4.534840284522128,,
denudare,italian,denudarea,-2.8454156381705387,denudare,-2.855111913945341
denuðaɾ,spanish,denuðaɾ,-2.755240083905168,,
dɨnudaɹ,portuguese,dɨnudaɹ,-2.7282148044984282,,
denɔ̃sjasjɔ̃,french,denɔ̃sjasjɔ̃,-4.567624164633614,danɔ̃sjasjɔ̃,-4.634551666461059
denuntʃatsione,italian,denuntʃatsione,-5.283905588135552,,
denunθjaθjon,spanish,denunθjaθjʊmn,-4.906861070056558,denunθjaθliʊmn,-4.981231358552176
dɨnũŋsiɐsɐ̃ʊ̃,portuguese,dɨnũŋsiɐsɐ̃ʊ̃,-5.357126406575308,,
depaʁtiʁ,french,depaʁtiʁ,-2.1815929039073896,dapaʁtiʁ,-2.3804420420134194
depaɾtiɾ,spanish,depaɾtiɾ,-2.224105017062304,,
depinde,romanian,depinde,-3.9464899349707343,deplinde,-4.369509967909986
depɑ̃dʁ,french,depɑ̃dʁ,-5.36266825096949,dapɑ̃dʁ,-5.369754518296061
dipɛndere,italian,dipɛndere,-4.626964279499406,dipɛnderea,-4.713871625663948
dependeɾ,spanish,dependeɾ,-3.873683064898096,,
dɨpeɪŋdeɹ,portuguese,dɨpeɪŋdeɹ,-5.324900175246659,,
depɛʁdisjɔ̃,french,depɛʁdisjɔ̃,-2.5136719669035554,depɛʁdisliɔ̃,-2.5636719669035557
deperditsione,italian,deperditsiʊmne,-3.018402604216183,deperditsiʊmnea,-3.0423962308807733
depeʁiʁ,french,depeʁiʁ,-4.468903340597386,dapeʁiʁ,-4.584041026877379
deperire,italian,deperirea,-3.8901170619022123,deperireʊm,-4.05343047723609
despeɾeθeɾ,spanish,despeɾeθeɾ,-3.0084668496645324,,
dɨpɨɾɨseɹ,portuguese,dɨpɨɾɨseɹ,-4.640176981044002,,
depʁisjɔ̃,french,depʁisliɔ̃,-2.5728712588685476,depʁisjɔ̃,-2.6361999441755506
deperitsione,italian,deperitsiʊmne,-2.874168717121508,deperitsiʊmnea,-2.906252302920088
deploʁe,french,deploʁaa,-3.099976655444337,deploʁa,-3.1113523099659948
deplorare,italian,deplʊmrarea,-3.2228036536574782,deplʊmrare,-3.2701686394234617
deploɾaɾ,spanish,deplʊmɾaɾ,-3.034742818498742,deploɾaɾ,-3.3177931059228314
depɔʁte,french,depɔʁta,-3.4818734658545023,dapɔʁta,-3.5159158755058613
deportare,italian,depʊmrtare,-3.7488585339251577,depʊmrtarea,-3.7740113790130057
depoɾtaɾ,spanish,depʊmɾtaɾ,-3.5743058534827936,depaʊɾtaɾ,-3.608377734036967
dɨpuɾətaɹ,portuguese,dɨpuɾətaɹ,-3.922278644217335,,
depʁedasjɔ̃,french,depʁedasjɔ̃,-2.568623752583566,depʁadasjɔ̃,-2.603823063897853
depredatsione,italian,depredatsione,-2.6956859366347192,depredatsionea,-2.711122104281287
depredare,italian,depredarea,-2.886440689059437,depredare,-2.9560432943716735
depɾeðaɾ,spanish,depɾeðaɾ,-3.2688758248682004,,
dɨpɹɨdaɹ,portuguese,dɨpɹɨdaɹ,-3.261867759601235,,
deprekare,italian,deprekarea,-1.841873437399118,deprekareʊm,-1.8918734373991177
depɾekaɾ,spanish,depɾekaɾ,-2.170263536200091,,
deprinde,romanian,deprinde,-3.191944863980952,deqʊrinde,-3.7085801634700823
disprɛndere,italian,disprɛnderea,-3.7848716385003223,disprɛndere,-3.8249880543702464
depɾeendeɾ,spanish,depɾeendeɾ,-3.6512693390277917,,
dɨpɹieɪŋdeɹ,portuguese,dɨpɹieɪŋdeɹ,-4.8032902013294,,
depʁime,french,depʁimaia,-3.0980121281585014,dapʁima,-3.13907853218572
deprimere,italian,deprimere,-3.4172519659922376,deprimerea,-3.4387572459826616
depɾimiɾ,spanish,depɾimiɾ,-3.227322954384437,,
dɨpɹimiɹ,portuguese,dɨpɹimiɹ,-3.4212954965293365,,
depyʁe,french,depyʁaa,-3.629231755121596,dapyʁa,-3.789003628928497
depurare,italian,depurare,-3.854290305625264,depurarea,-3.926854372801534
depuɾaɾ,spanish,depuɾaɾ,-3.1482826720147754,,
dɨpuɾaɹ,portuguese,dɨpuɾaɹ,-3.4630383045554574,,
deɾelinkiɾ,spanish,deɾelinkiɾ,-2.065469123554078,,
deʁizjɔ̃,french,deʁizjɔ̃,-2.533426264617566,deʁizliɔ̃,-2.583426264617566
derizione,italian,deriziʊmnea,-2.3428805659541982,deriziʊmneʊm,-2.4562932489911726
deʁizwaʁ,french,deʁizwaʁ,-2.6593786735951803,daʁizwaʁ,-2.946249800196763
derizɔrio,italian,derizɔriʊm,-2.2922059522696117,derizɔrio,-2.3182882587270512
deʃtiŋdʒe,romanian,deʃtiŋdʒe,-5.261037841666133,,
dɛsɑ̃dʁ,french,dɛsɑ̃dʁ,-5.520561364286219,,
diʃɛndere,italian,diʃɛndere,-5.261037841666133,diʃɛnderea,-5.297988561677105
desθendeɾ,spanish,desθendeɾ,-4.804254960660148,,
diʃezo,italian,diʃezʊm,-1.5094379124341002,diʃezoa,-1.6635885922613585
dekʁiʁ,french,dekʁiʁ,-4.490884673044871,dakʁiʁ,-5.119246936005313
deskrivere,italian,deskriverea,-4.412812133537168,deskrivere,-4.413363998117582
deskɾiβiɾ,spanish,deskɾiβiɾ,-4.361048708120978,,
deʃkɹɨveɹ,portuguese,deʃkɹɨveɹ,-4.273481688322894,,
deskriptsje,romanian,deskriptsje,-4.644134229300777,deskrictsje,-4.784223022471458
dɛskʁipsjɔ̃,french,dɛskʁipsjɔ̃,-4.389423756308986,dɛskʁipsliɔ̃,-4.484462890409189
deskritsione,italian,deskritsiʊmne,-4.695354265303742,deskritsione,-4.8503447933722965
deskɾipθjon,spanish,deskɾipθjʊmn,-4.4190889949866525,deskɾipθliʊmn,-4.88427556540028
deʃkɹisɐ̃ʊ̃,portuguese,deʃkɹisɐ̃ʊ̃,-5.587890945735008,,
desekaɾ,spanish,desekaɾ,-3.6499465844306735,,
dezɛʁsjɔ̃,french,dazɛʁsjɔ̃,-4.703265176089543,dazɛʁsliɔ̃,-4.753265176089544
dizertsione,italian,dizertsioneʊm,-4.923859593991988,dizertsionea,-4.938988266722993
