ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
-	kɔ̃stitysjɔ̃	kostitutsione	konstituθjon	kuŋstituɪsɐ̃ʊ̃	konstɪtutɪonɛm
-	kɔ̃stitytif	-	konstitutiβo	kuŋstitutivʊ	kɔnstɪtutɪwʊm
-	kɔ̃stʁiktœʁ	kostrittore	konstɾiktoɾ	-	konstrɪktorɛm
kostum	kutym	kostume	kostumbɾe	kuʃtumɨ	konsʊetudɪnɛm
-	kɔ̃syltasjɔ̃	konsultatsione	konsultaθjon	kuŋsuwtɐsɐ̃ʊ̃	konsʊltatɪonɛm
-	kɔ̃sɔmasjɔ̃	konsumatsione	konsumaθjon	kuŋsumɐsɐ̃ʊ̃	konsʊmmatɪonɛm
-	kɔ̃sɔme	-	konsumaɾ	kuŋsumaɹ	konsʊmmarɛ
-	kɔ̃syme	konsumere	konsumiɾ	kuŋsumiɹ	konsumɛrɛ
-	kɔ̃sɔ̃psjɔ̃	konsuntsione	konsunθjon	kuŋsũŋsɐ̃ʊ̃	konsumptɪonɛm
-	kɔ̃taminasjɔ̃	kontaminatsione	kontaminaθjon	kuŋtɐminɐsɐ̃ʊ̃	kɔntamɪnatɪonɛm
-	-	kontemperare	-	-	kɔntɛmpɛrarɛ
-	kɔ̃tɑ̃ple	kontemplare	kontemplaɾ	-	kɔntɛmplari
-	-	kontɛndere	kontendeɾ	kuŋteɪŋdeɹ	kɔntɛndɛrɛ
kontentsjune	kɔ̃tɑ̃sjɔ̃	kontentsione	kontenθjon	kuŋteɪŋsɐ̃ʊ̃	kɔntɛntɪonɛm
kontentsjos	kɔ̃tɑ̃sjø	kontentsiozo	kontenθjoso	kuŋteɪŋsiozʊ	kɔntɛntɪosʊm
kontent	kɔ̃tɑ̃	kontɛnto	kontɛnto	kuŋteɪŋtɨ	kɔntɛntʊm
-	kɔ̃tʁiʁ	-	-	-	kɔntɛrɛrɛ
-	kɔ̃tɛste	kontestare	kontestaɾ	kuŋtɨʃtaɹ	kɔntɛstari
-	-	-	kontiɡnaθjon	-	kɔntɪŋnatɪonɛm
-	kɔ̃tinyasjɔ̃	kontinuatsione	kontinwaθjon	kuŋtinuɐsɐ̃ʊ̃	kɔntɪnʊatɪonɛm
kontinwu	kɔ̃tiny	kontinuo	kontinwo	kuŋtinuʊ	kɔntɪnʊʊm
-	-	-	-	kuŋsiunaɹ	kontɪonari
-	-	kontɔrtʃere	kontoɾθeɾ	kuŋtuɾəseɹ	kɔntɔrkwerɛ
-	-	kontɔrto	-	-	kɔntɔrtʊm
-	kɔ̃tʁadiktœʁ	kontradditore	kontɾaðiktoɾ	kuŋtɹɐditoɹ	kɔntradɪktorɛm
kontrakta	kɔ̃tʁakte	kontrarre	kontɾaeɾ	kuŋtɹɐiɹ	kɔntrahɛrɛ
-	kɔ̃tʁəvniʁ	-	kontɾaβeniɾ	kuŋtɹɐviɹ	kɔntrawɛnirɛ
kutrejeɾa	-	-	kontɾiβulaɾ	-	kɔntrɪbʊlarɛ
-	kɔ̃tʁibye	kontribuire	kontɾiβwiɾ	kuŋtɹibuiɹ	kɔntrɪbʊɛrɛ
-	kɔ̃tʁiste	kontristare	kontɾistaɾ	kuŋtɹiʃtaɹ	kɔntristarɛ
-	kɔ̃tʁisjɔ̃	kontritsione	-	kuŋtɹisɐ̃ʊ̃	kɔntritɪonɛm
-	kɔ̃tʁi	kontrito	-	-	kɔntritʊm
kontroversə	kɔ̃tʁovɛʁs	kontrovɛrsia	kontɾoβeɾsja	kuŋtɹuvɛɾəsjɐ	kɔntrowɛrsɪam
-	-	-	-	kuŋtɹuvɛɾəsʊ	kɔntrowɛrsʊm
-	-	-	-	kuŋtubɨɾənɑl	kɔntʊbɛrnalɛm
-	-	-	-	kuŋtubɛɾənjʊ	kɔntʊbɛrnɪʊm
-	-	kontumatʃe	kontumaθ	kuŋtumaʃ	kɔntʊmakɛm
-	-	kontumɛlia	kontumelja	-	kɔntʊmelɪam
-	-	kontumeliozo	-	-	kɔntʊmelɪosʊm
-	-	konturbatsione	kontuɾβaθjon	kuŋtuɾəbɐsɐ̃ʊ̃	kɔntʊrbatɪonɛm
-	-	konturbare	kontuɾβaɾ	kuŋtuɾəbaɹ	kɔntʊrbarɛ
-	-	konnubio	-	-	konubɪʊm
kon	kɔ̃n	kono	kono	konɨ	konʊm
-	-	-	-	kuŋvɨliɹ	kɔnwɛllɛrɛ
konvenjentsə	kɔ̃vnɑ̃s	konvenjɛntsa	kombenjɛnθja	kuŋvɨnjeɪŋsjɐ	kɔnwɛnɪɛntɪam
konvenʲ	kɔ̃vniʁ	konvenire	kombeniɾ	-	kɔnwɛnirɛ
-	kɔ̃vɛʁtiʁ	konvertire	kombeɾtiɾ	kuŋvɨɾəteɹ	kɔnwɛrtɛrɛ
konveks	kɔ̃vɛks	konvɛsso	kombekso	kuŋvɛksʊ	kɔnwɛksʊm
-	-	-	kombiθjo	kuŋvisjʊ	kɔnwikɪʊm
konviktsjune	kɔ̃viksjɔ̃	konvintsione	kombikθjon	kuŋvisɐ̃ʊ̃	kɔnwiktɪonɛm
-	kɔ̃viv	-	-	-	kɔnwiwam
-	kɔ̃vokasjɔ̃	konvokatsione	kombokaθjon	kuŋvukɐsɐ̃ʊ̃	kɔnwɔkatɪonɛm
konvoka	kɔ̃voke	konvokare	kombokaɾ	kuŋvukaɹ	kɔnwɔkarɛ
-	kɔ̃vole	-	-	-	kɔnwɔlarɛ
-	-	konvoldʒere	-	-	kɔnwɔlwɛrɛ
-	kɔopeʁasjɔ̃	kooperatsione	koopeɾaθjon	kuupeɾɐsɐ̃ʊ̃	kɔɔpɛratɪonɛm
-	kuvɛʁtyʁ	kopertura	koβeɾtuɾa	kubɨɾətuɾɐ	kɔɔpɛrturam
-	kɔɔptasjɔ̃	-	-	-	kɔɔptatɪonɛm
-	-	-	kweβano	-	kɔpʰɪnʊm
-	-	-	kopja	-	kopɪam
-	kopjø	kopiozo	kopjoso	-	kopɪosʊm
kuplə	kupl	kɔppia	koβɾa	kɔbɹɐ	kopʊlam
-	-	kopulatsione	kopulaθjon	kupulɐsɐ̃ʊ̃	kopʊlatɪonɛm
kupla	kuple	kopulare	kopulaɾ	kupulaɹ	kopʊlarɛ
-	kyizin	kutʃina	koθina	kuziɲɐ	kɔkwinam
-	kyizinje	kutʃinario	koθineɾo	kuziɲeɪɾʊ	kɔkwinarɪʊm
-	kyizine	kutʃinare	koθinaɾ	kuziɲaɹ	kɔkwinarɛ
-	kɔk	kuɔko	-	-	kɔkwʊm
kor	kœʁ	kuɔre	kweɾ	koɹ	kɔr
-	kɔʁbɛj	korbɛllo	-	kuɾəbeʎɐ	kɔrbɛm
-	koʁjas	koriatʃeo	koɾjaθeo	kuɾiasiʊ	kɔrɪakɛʊm
-	koʁjɑ̃dʁ	koriandolo	koɾjandɾo	kueɪŋtɹʊ	kɔrɪandrʊm
-	kyiʁ	kuɔjo	kweɾo	kowɾʊ	kɔrɪʊm
-	-	kɔrnio	koɾneo	kɔɾəniʊ	kɔrnɛʊm
-	koʁoni	korɔnide	-	-	kɔronɪdɛm
-	-	korpuskolo	-	-	kɔrpʊskʊlʊm
koɾektor	koʁɛktœʁ	korrettore	korektoɾ	kuʁɨtoɹ	kɔrrɛktorɛm
kuɾea	kuʁwa	korredʒʒa	korea	kuʁeɪɐ	kɔrrɪɡɪam
-	-	korroboramento	-	-	kɔrrobɔramɛntʊm
-	koʁode	korrɔdere	koroeɾ	kuʁueɹ	kɔrrodɛrɛ
koɾozjune	koʁozjɔ̃	korrozione	korosjon	kuʁuzɐ̃ʊ̃	kɔrrosɪonɛm
-	kʁule	krollare	-	-	kɔrrʊɛrɛ
kurte	kɔʁ	korte	koɾte	kɔɾətɨ	kortɛm
-	kɔʁs	korso	koɾso	koɾəsʊ	kɔrsʊm
-	-	kɔrtitʃe	koɾtʃo	kɔɾətisɨ	kɔrtɪkɛm
-	-	korruskatsione	-	-	kɔrʊskatɪonɛm
-	-	korruskare	koɾuskaɾ	-	kɔrʊskarɛ
-	-	korrusko	-	-	kɔrʊskʊm
-	kɔʁvin	korvino	koɾβino	kuɾəvinʊ	kɔrwinʊm
kute	kø	kɔte	koðon	-	kotɛm
koʃ	-	kɔsso	koso	-	kɔssʊm
-	kote	kostato	kostaðo	kuʃtadʊ	kɔstatʊm
kotidjan	kotidjɛ̃	kwotidjano	kotiðjano	kutidiɐ̃nʊ	kɔtidɪanʊm
potɨrnike	-	kotɔrnitʃe	koðoɾniθ	kuduɾəniʃ	kotʊrnikɛm
-	koksal	koʃale	koksal	-	kɔksalɛm
-	-	-	koxo	koʃʊ	kɔksʊm
-	-	kalabrone	kambɾon	kɐ̃mbɹɐ̃ʊ̃	krabronɛm
-	-	krɛma	kɾema	-	kramʊm
krapulaɾe	-	krapula	kɾapula	kɹapulɐ	krapʊlam
-	-	-	-	kɹaʃtinʊ	krastɪnʊm
-	-	-	-	kɹɐtɛɾɐ	krateram
-	-	ɡratitʃʃo	-	-	kratɪkɪʊm
-	ɡʁij	ɡratikola	kɾatikula	kɹɐtikulɐ	kratɪkʊlam
ɡratje	-	ɡrata	ɡɾaða	ɡɹadɨ	kratɛm
-	kʁeatʁis	kreatritʃe	-	-	krɛatrikɛm
kreatuɾə	kʁeatyʁ	kreatura	kɾiatuɾa	kɹiɐtuɾɐ	krɛaturam
-	-	-	-	kɹebɹʊ	krebrʊm
kredintsə	kʁwajɑ̃s	kredɛntsa	kɾeɛnθja	kɹeɪŋsɐ	kredɛntɪam
kredibil	kʁedibl	kredibile	kɾeiβle	kɹedivɛl	kredɪbɪlɛm
kredibilitate	kʁedibilite	kredibilita	kɾeðiβiliðad	kɹedibilidadɨ	kredɪbɪlɪtatɛm
kreditor	kʁeditœʁ	kreditore	kɾeeðoɾ	kɹɨdoɹ	kredɪtorɛm
-	-	kreditritʃe	-	-	kredɪtrikɛm
kredul	kʁedyl	krɛdulo	kɾeðulo	kɹɛdulʊ	kredʊlʊm
-	kʁeme	kremare	kɾemaɾ	-	krɛmarɛ
krəpətuɾə	kʁəvyʁ	krepatura	-	kebɹɐduɾɐ	krɛpaturam
-	-	-	kɾepito	-	krɛpɪtʊm
kretə	-	krɛta	kɾeta	kɹɛtɐ	kretam
tʃuɾa	kʁible	kribrare	kɾiβaɾ	kɹivaɹ	kribrarɛ
tʃur	kʁibl	krivo	kɾiβo	kɹivʊ	kribrʊm
krimə	kʁim	krimine	kɾimen	kɹimɨ	krimɛn
kriminal	kʁiminɛl	kriminale	kɾiminal	kɹiminɑl	krimɪnalɛm
-	-	-	kɾiminaθjon	kɹiminɐsɐ̃ʊ̃	krimɪnatɪonɛm
-	-	kriminozo	-	kɹiminozʊ	krimɪnosʊm
-	kʁɛ̃	krine	kɾin	kɹinɐ	krinɛm
krispa	kʁɛpe	krespare	kɾespaɾ	-	krɪsparɛ
-	kʁɛp	krespo	kɾespo	kɹeʃpʊ	krɪspʊm
-	-	krestato	-	-	krɪstatʊm
-	-	kritɛrio	kɾiteɾjo	-	krɪtɛrɪɔn
-	-	-	kɾitiko	kɹitikʊ	krɪtɪkʊm
-	kʁokys	-	kɾoko	-	krɔkʊm
-	-	krɔtalo	kɾotalo	-	krɔtalʊm
-	kʁysifɛʁ	krotʃifero	kɾuθifeɾo	kɹusifɨɾʊ	krʊkɪfɛrʊm
-	kʁyɛl	krudɛle	kɾuel	kɹuɛl	krudelɛm
-	kʁyote	krudelta	kɾuelðad	kɹuɨldadɨ	krudelɪtatɛm
-	-	krudita	-	-	krudɪtatɛm
krunta	-	kruentare	kɾuentaɾ	kɹueɪŋtaɹ	krʊɛntarɛ
krunt	-	kruɛnto	kɾuɛnto	kɹueɪŋtʊ	krʊɛntʊm
-	kʁyɔʁ	-	kɾuoɾ	kɹuoɹ	krʊorɛm
krustə	kʁut	-	kostɾa	kɹɔʃtɐ	krʊstam
-	kʁute	-	-	kɹɨʃtaɹ	krʊstarɛ
krustos	kʁutø	krostozo	kostɾoso	kɹuʃtozʊ	krʊstosʊm
-	-	krɔstolo	-	-	krustʊlʊm
-	-	-	kuβikulo	-	kʊbɪkʊlʊm
-	-	-	kuβil	kuvil	kʊbilɛ
-	kuve	kovare	-	-	kʊbarɛ
-	kykyl	kokɔlla	koɣuʎa	-	kʊkʊllam
kukuj	kul	kɔɡolo	koɣoʎo	kuɡulʊ	kʊkʊllʊm
-	kuku	kukulo	-	-	kʊkulʊm
kukumər	kɔ̃kɔ̃bʁ	kokomero	koɣombɾo	kuɡombɹʊ	kʊkʊmɛrɛm
kurkubetə	kuʁʒ	kukurbita	kukuɾβita	kukuɾəbitɐ	kʊkʊrbɪtam
-	-	kuj	kujo	kuʒʊ	kujʊm
-	kwɛt	koltritʃe	koltʃa	kolʃɐ	kʊlkɪtam
-	-	koltritʃe	-	-	kʊlkɪtram
-	kuzɛ̃	-	-	-	kʊlɪkɛm
-	kylinɛʁ	-	-	-	kʊlinarɪʊm
-	-	kulmo	kolmo	kolmʊ	kʊlmʊm
kulpə	kulp	kolpa	kulpa	kuwpɐ	kʊlpam
-	-	-	kulpaɾ	kuwpaɹ	kʊlparɛ
-	kuto	koltɛllo	kutʃiʎo	kutɛlʊ	kʊltɛllʊm
-	kutʁ	koltro	-	kuwtɹʊ	kʊltrʊm
-	-	kultore	kultoɾ	kuwtoɹ	kʊltorɛm
kult	kylt	kulto	kulto	kuwtʊ	kʊltʊm
-	kɔ̃b	komba	-	kombɐ	kʊmbam
-	-	kumino	komino	kumiɲʊ	kʊminʊm
-	kɔ̃ble	kumulare	kumulaɾ	kumulaɹ	kʊmʊlarɛ
-	-	kulla	kuna	-	kunam
ɨnkuja	koɲe	konjare	kuɲaɾ	kũɲaɹ	kʊnɛarɛ
-	kɔ̃	konno	koɲo	konɐ	kʊnnʊm
-	kypidite	kupidita	-	-	kʊpɪdɪtatɛm
-	kypid	-	-	-	kʊpɪdʊm
-	sipʁɛ	tʃiprɛsso	θipɾes	-	kʊprɛssʊm
kupru	kyivʁ	kupriko	koβɾe	kɔbɹɨ	kuprʊm
kuɾə	kyʁ	kura	kuɾa	kuɾɐ	kuram
kuɾətuɾə	-	kuratura	-	-	kuraturam
kuɾa	kyʁe	kurare	kuɾaɾ	kuɾaɹ	kurarɛ
-	-	kurrikolo	kurikulo	kuʁikulʊ	kʊrrɪkʊlʊm
kurs	kuʁ	korso	koɾso	koɾəsʊ	kʊrsʊm
skurta	ekuʁte	skortare	koɾtaɾ	kuɾətaɹ	kʊrtarɛ
-	-	-	-	kuɾuw	kʊrulɛm
-	-	kurvare	kuɾβaɾ	kuɾəvaɹ	kʊrwarɛ
-	-	-	koɾβo	-	kʊrwʊm
-	-	-	koskoxo	-	kʊskɔlɪʊm
-	siɲ	tʃiɲɲo	θisne	siʒnɨ	kyŋnʊm
-	-	tʃimaza	-	-	kymatɪʊm
-	-	-	-	kombɐ	kymbam
-	sɛ̃bal	tʃimbalo	θimbalo	-	kymbalʊm
-	-	tʃipɛro	-	-	kyperʊm
-	sitiz	-	θitiso	-	kytɪsʊm
-	-	-	-	demʊ	daɪmɔnɛm
-	-	-	demoniako	-	daɪmɔnɪakʊm
-	-	demɔniko	-	dɨmonikʊ	daɪmɔnɪkʊm
-	demɔ̃	demɔnio	demonjo	dɨmɔnjʊ	daɪmɔnɪʊm
-	dane	dannato	-	-	damnatʊm
damna	dane	dannare	daɲaɾ	dɐnaɹ	damnarɛ
dəunos	-	dannozo	daɲoso	dɐnozʊ	damnosʊm
-	de	dato	daðo	dadʊ	datʊm
datə	dat	data	daða	dadɐ	data
-	deɑ̃bylasjɔ̃	deambulatsione	deambulaθjon	diɐ̃mbulɐsɐ̃ʊ̃	dɛambʊlatɪonɛm
-	doʁe	dorare	doɾaɾ	duwɾaɹ	dɛaʊrarɛ
-	-	-	-	dɨbɐkaɹ	debakkʰari
-	-	debellare	deβelaɾ	-	debɛllarɛ
-	dəvwaʁ	dovere	deβeɾ	dɨveɹ	deberɛ
-	-	-	deβiliðad	-	debɪlɪtatɛm
-	debilite	-	deβilitaɾ	-	debɪlɪtarɛ
-	deblateʁe	-	-	-	dɛblatɛrarɛ
-	-	dekalvatsione	dekalβaθjon	dɨkɑlvɐsɐ̃ʊ̃	dekalwatɪonɛm
-	desede	detʃedere	-	-	dekedɛrɛ
-	-	detʃempeda	-	-	dɛkɛmpɛdam
-	desɛptif	detʃettivo	-	-	dɛkɛptiwʊm
-	-	detʃettɔrio	deθepptoɾjo	-	dɛkɛptorɪʊm
-	desɛʁne	detʃɛrnere	-	-	dekɛrnɛrɛ
-	-	ditʃevole	-	-	dɛkɪbɪlɛm
zetʃimal	desimal	detʃimale	deθimal	dɨsimɑl	dɛkɪmalɛm
-	desimasjɔ̃	detʃimatsione	-	-	dɛkɪmatɪonɛm
detʃima	desime	detʃimare	djeθmaɾ	dizimaɹ	dɛkɪmarɛ
-	dim	dɛtʃimo	djeθmo	dizimʊ	dɛkɪmʊm
-	desəvwaʁ	-	deθepθjonaɾ	dɨsɨpsiunaɹ	dekɪpɛrɛ
-	deklame	deklamare	deklamaɾ	dɨklɐmaɹ	deklamarɛ
deklina	dekline	deklinare	deklinaɾ	dɨklinaɹ	deklinarɛ
-	dekliv	-	-	-	dekliwɛm
-	dekɔksjɔ̃	dekotsione	dekokθjon	dɨkusɐ̃ʊ̃	dɛkɔktɪonɛm
-	-	-	deɣoʎaɾ	dɨɡulaɹ	dekɔllarɛ
-	dekoʁe	dekorare	dekoɾaɾ	dɨkuɾaɹ	dɛkɔrarɛ
-	dekɔʁtike	-	-	-	dekɔrtɪkarɛ
-	-	dekremento	dekɾemɛnto	-	dekremɛntʊm
-	dekʁetal	dekretale	dekɾetal	dɨkɹɨtɑl	dekretalɛm
dekret	dekʁɛ	dekrɛto	dekɾeto	dɨkɹɛtʊ	dekretʊm
-	-	dekɔrrere	dekoreɾse	dɨkuʁeɹ	dekʊrrɛrɛ
-	-	-	-	dɨkusɨ	dɛkʊssɛm
-	-	-	-	dɨkusaɹ	dɛkʊssarɛ
deda	-	-	-	-	dedɛrɛ
deduktsie	dedyksjɔ̃	dedutsione	deðukθjon	dɨdusɐ̃ʊ̃	dedʊktɪonɛm
-	defɛksjɔ̃	defetsione	defekθjon	dɨfɛsɐ̃ʊ̃	defɛktɪonɛm
-	defɑ̃s	difeza	defɛnsa	defezɐ	defɛnsam
-	-	difensione	defensjon	dɨfeɪŋsɐ̃ʊ̃	defensɪonɛm
-	defɑ̃sœʁ	difensore	defensoɾ	dɨfeɪŋsoɹ	defensorɛm
-	defeʁe	deferire	defeɾiɾ	dɨfɨɾiɹ	defɛrrɛ
-	defɛʁ	-	-	-	defɪkɛrɛ
-	-	defluire	-	dɨfluiɹ	deflʊɛrɛ
deformatsje	defɔʁmasjɔ̃	deformatsione	defoɾmaθjon	dɨfuɾəmɐsɐ̃ʊ̃	deformatɪonɛm
-	-	deforme	defoɾme	dɨfɔɾəmɨ	deformɛm
-	-	deformita	defoɾmiðad	dɨfuɾəmidadɨ	deformɪtatɛm
-	-	defraudatsione	defɾaʊðaθjon	dɨfɹaʊdɐsɐ̃ʊ̃	defraʊdatɪonɛm
-	deʒeneʁe	-	dexeneɾaɾ	dɨʒɨnɨɾaɹ	deɡɛnɛrarɛ
-	deɡʁadasjɔ̃	deɡradatsione	deɣɾaðaθjon	dɨɡɹɐdɐsɐ̃ʊ̃	deɡradatɪonɛm
deɡusta	deɡyste	deɡustare	deɣustaɾ	dɨɡuʃtaɹ	deɡʊstarɛ
-	-	-	denostaɾ	duɨʃtaɹ	dɛhɔnɛstarɛ
-	deʒɛksjɔ̃	-	-	-	dejɛktɪonɛm
-	deifje	deifikare	deɪfikaɾ	deɪfikaɹ	dɛɪfɪkarɛ
zeitate	deite	deita	-	deɪdadɨ	dɛɪtatɛm
-	delasjɔ̃	delatsione	delaθjon	dɨlɐsɐ̃ʊ̃	delatɪonɛm
-	delatœʁ	delatore	delatoɾ	dɨlɐtoɹ	delatorɛm
-	-	delɛbile	-	-	delebɪlɛm
-	delɛktasjɔ̃	dilettatsione	delektaθjon	dɨleɪtɐsɐ̃ʊ̃	delɛktatɪonɛm
-	delesjɔ̃	deletsione	-	-	deletɪonɛm
-	delibeʁasjɔ̃	deliberatsione	deliβeɾaθjon	dɨlibeɾɐsɐ̃ʊ̃	delibɛratɪonɛm
-	delibeʁe	deliberare	deliβeɾaɾ	dɨlibɨɾaɹ	delibɛrarɛ
-	-	delitsia	deliθja	dɨlisjɐ	delɪkɪas
-	-	delittore	-	-	delɪktorɛm
-	deli	delitto	delito	delitʊ	delɪktʊm
-	delɛ̃kɑ̃s	delinkwɛntsa	delinkwɛnθja	dɨliŋkweɪŋsjɐ	delɪŋkwɛntɪam
-	delɛ̃ke	delinkwere	delinkiɾ	dɨliŋkiɹ	delɪŋkwɛrɛ
-	-	dileɡware	-	dɨlikwaɹ	delɪkwarɛ
-	-	delubro	-	dɨlubɹʊ	delubrʊm
dimɨnda	dəmɑ̃de	domandare	demandaɾ	dɨmɐ̃ŋdaɹ	demandarɛ
-	-	dimentikare	dementaɾ	-	demɛntarɛ
-	demɛtʁ	-	-	dɨmitiɹ	demɪttɛrɛ
-	-	-	-	demʊ	demɛrɛ
-	demɔ̃stʁasjɔ̃	dimostratsione	demostɾaθjon	dɨmuŋstɹɐsɐ̃ʊ̃	demonstratɪonɛm
demonstra	demɔ̃tʁe	dimostrare	demostɾaɾ	dɨmuŋstɹaɹ	demonstrarɛ
-	dəmøʁe	dimorare	demoɾaɾ	dɨmuɾaɹ	demɔrari
-	-	-	-	dɨmuveɹ	demɔwerɛ
-	demyte	-	demuðaɾ	dɨmudaɹ	demutarɛ
deneɡa	denje	-	deneɣaɾ	dɨnɨɡaɹ	denɛɡarɛ
denominatsje	denominasjɔ̃	denominatsione	denominaθjon	dɨnuminɐsɐ̃ʊ̃	denomɪnatɪonɛm
-	denominatœʁ	denominatore	denominaðoɾ	dɨnuminɐdoɹ	denomɪnatorɛm
-	denɔme	denominare	denominaɾ	dɨnuminaɹ	denomɪnarɛ
ɨndesa	-	densare	densaɾ	-	densarɛ
-	dɑ̃tal	dentale	dental	deɪŋtɑl	dɛntalɛm
-	-	dentato	dentaðo	dentadʊ	dɛntatʊm
-	-	dentifritʃo	dentifɾiko	dentifɹikʊ	dɛntɪfrɪkɪʊm
-	denydasjɔ̃	denudatsione	denuðaθjon	dɨnudɐsɐ̃ʊ̃	denudatɪonɛm
-	-	denudare	denuðaɾ	dɨnudaɹ	denudarɛ
-	denɔ̃sjasjɔ̃	denuntʃatsione	denunθjaθjon	dɨnũŋsiɐsɐ̃ʊ̃	denʊntɪatɪonɛm
-	depaʁtiʁ	-	depaɾtiɾ	-	departirɛ
depinde	depɑ̃dʁ	dipɛndere	dependeɾ	dɨpeɪŋdeɹ	depɛnderɛ
-	depɛʁdisjɔ̃	deperditsione	-	-	depɛrdɪtɪonɛm
-	depeʁiʁ	deperire	despeɾeθeɾ	dɨpɨɾɨseɹ	depɛrirɛ
-	depʁisjɔ̃	deperitsione	-	-	depɛrɪtɪonɛm
-	deploʁe	deplorare	deploɾaɾ	-	deplorarɛ
-	depɔʁte	deportare	depoɾtaɾ	dɨpuɾətaɹ	depɔrtarɛ
-	depʁedasjɔ̃	depredatsione	-	-	depraɪdatɪonɛm
-	-	depredare	depɾeðaɾ	dɨpɹɨdaɹ	depraɪdari
-	-	deprekare	depɾekaɾ	-	deprɛkari
deprinde	-	disprɛndere	depɾeendeɾ	dɨpɹieɪŋdeɹ	deprɛhɛndɛrɛ
-	depʁime	deprimere	depɾimiɾ	dɨpɹimiɹ	deprɪmɛrɛ
-	depyʁe	depurare	depuɾaɾ	dɨpuɾaɹ	depurarɛ
-	-	-	deɾelinkiɾ	-	derɛlɪŋkwɛrɛ
-	deʁizjɔ̃	derizione	-	-	derisɪonɛm
-	deʁizwaʁ	derizɔrio	-	-	derisorɪʊm
deʃtiŋdʒe	dɛsɑ̃dʁ	diʃɛndere	desθendeɾ	-	deskɛndɛrɛ
-	-	diʃezo	-	-	deskensʊm
-	dekʁiʁ	deskrivere	deskɾiβiɾ	deʃkɹɨveɹ	deskribɛrɛ
deskriptsje	dɛskʁipsjɔ̃	deskritsione	deskɾipθjon	deʃkɹisɐ̃ʊ̃	deskriptɪonɛm
-	-	-	desekaɾ	-	desɛkarɛ
-	dezɛʁsjɔ̃	dizertsione	deseɾθjon	dɨzɨɾəsɐ̃ʊ̃	desɛrtɪonɛm
deʃert	dezɛʁ	dezɛrto	desjeɾto	dɨzɛɾətʊ	desɛrtʊm
-	dɛsɛʁviʁ	-	-	-	desɛrwirɛ
-	dɛsikasjɔ̃	dissekkatsione	desekaθjon	dɨsɨkɐsɐ̃ʊ̃	desɪkkatɪonɛm
-	dɛseʃe	dissekkare	desekaɾ	dɨsɨkaɹ	desɪkkarɛ
deʃideɾa	deziʁe	deziderare	deseaɾ	dɨzɨʒaɹ	desidɛrarɛ
-	-	dezidia	desiðja	dɨzidjɐ	desɪdɪam
-	-	-	desiɡnaθjon	-	desɪŋnatɪonɛm
desemna	-	-	-	dɨzɨɲaɹ	desɪŋnarɛ
-	dezinɑ̃s	dezinɛntsa	-	-	desɪnɛntɪam
-	deziste	-	desistiɾ	dɨziʃtiɹ	desɪstɛrɛ
-	dezolasjɔ̃	dezolatsione	desolaθjon	dɨzulɐsɐ̃ʊ̃	desolatɪonɛm
-	dezole	dezolare	desolaɾ	-	desolarɛ
-	-	dispettare	despetʃaɾ	dɨʃpeɪtaɹ	despɛktarɛ
-	-	disperatsione	desespeɾaθjon	dɨzɨʃpeɾɐsɐ̃ʊ̃	desperatɪonɛm
-	dezɛspeʁe	disperato	despeɾaðo	dɨʃpɨɾadʊ	desperatʊm
despeɾa	-	disperare	despeɾaɾ	-	desperarɛ
-	-	-	despondeɾ	-	despɔnderɛ
-	-	dispozare	desposaɾ	dɨʃpuzaɹ	desponsarɛ
-	distile	distillare	destilaɾ	dɨʃtilaɹ	destɪllarɛ
-	dɛstinasjɔ̃	-	destinaθjon	-	destɪnatɪonɛm
destina	dɛstine	destinare	destinaɾ	dɨʃtinaɹ	destɪnarɛ
-	dɛstitye	destituire	destitwiɾ	dɨʃtituiɹ	destɪtʊɛrɛ
-	-	distrutsione	destɾukθjon	deʃtɹuisɐ̃ʊ̃	destrʊktɪonɛm
distrudʒe	detʁyiʁ	distrudʒʒere	destɾuiɾ	deʃtɹuiɹ	destrʊɛrɛ
-	dezyltwaʁ	dezultɔrio	-	dɨzuwtɔɾjʊ	desʊltorɪʊm
-	-	dezumere	-	dɨzumiɹ	desumɛrɛ
detekta	detɛktɛʁdytʃ	-	detektaɾ	dɨtɛtaɹ	detɛɡɛrɛ
detentsjune	detɑ̃sjɔ̃	detentsione	detenθjon	dɨteɪŋsɐ̃ʊ̃	detɛntɪonɛm
-	detɛʁʒe	detɛrdʒere	deteɾxeɾ	-	detɛrɡerɛ
-	deteʁjoʁasjɔ̃	deterioratsione	deteɾjoɾaθjon	dɨtɨɾiuɾɐsɐ̃ʊ̃	detɛrɪoratɪonɛm
-	-	determinatsione	deteɾminaθjon	-	detɛrmɪnatɪonɛm
-	detɛʁmine	determinare	deteɾminaɾ	dɨtɨɾəminaɹ	detɛrmɪnarɛ
-	detɛstasjɔ̃	detestatsione	detestaθjon	dɨtɨʃtɐsɐ̃ʊ̃	detɛstatɪonɛm
-	detɛste	detestare	detestaɾ	dɨtɨʃtaɹ	detɛstari
detsine	detniʁ	detenɛre	deteneɾ	dɨteɹ	detɪnerɛ
-	-	detrarre	detɾaeɾ	dɨtɹɐiɹ	detrahɛrɛ
zeu	dø	dio	djos	deʊʃ	dɛʊm
