final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
ɡat	-	ʃat	ɡatta	ɡata	ɡatɐ	kattam
ɣawɣ	kawk	-	-	-	-	kaʊkʊm
ɣola	kɔadə	koda	-	kola	kɔlɐ	kaʊdam
ɣodale	-	kodal	kaudale	kaʊðal	kaʊdɑl	kaʊdalɛm
ɣodado	-	-	kaudato	-	-	kaʊdatʊm
ɣaʊʤzɨ	-	-	-	-	kaʊdisɨ	kaʊdɪkɛm
ɣuɾeɣ	kuɾekʲ	-	kolekkio	koʎexa	-	kaʊlɪkʊlʊm
ɣole	-	ʃu	kaule	kol	kaʊlɨ	kaʊlɛm
kalma	-	-	kalma	-	-	kaʊma
ɣodela	-	kotɛl	kautɛla	kaʊtela	kaʊtɛlɐ	kaʊtelam
ɣawtsjune	kawtsjune	kosjɔ̃	kautsione	kaʊθjon	kaʊsɐ̃ʊ̃	kaʊtɪonɛm
kowdʊ	-	-	-	koto	kowtʊ	kaʊtʊm
kaβilaɾ	-	-	kavillare	kaβilaɾ	kɐvilaɹ	kawɪllari
kavare	-	kave	kavare	kaβaɾ	kɐvaɹ	kawarɛ
ɡoɾə	ɡauɾə	kav	kavo	kaβo	kavʊ	kawʊm
zede	tʃeda	sede	tʃedere	θeðeɾ	sɨdeɹ	kedɛrɛ
dʃedredo	-	-	tʃedreto	-	-	kɛdretʊm
ðʃeðro	tʃedru	sɛdʁ	tʃedro	θeðɾo	sɛdɹʊ	kɛdrʊm
ðʃelebru	tʃelebru	selɛbʁ	tʃɛlebre	θeleβɾe	sɛlɨbɹɨ	kɛlɛbrɛm
tʃelebratsione	-	selebʁasjɔ̃	tʃelebratsione	θeleβɾaθjon	-	kɛlɛbratɪonɛm
ðʃelebrare	-	selebʁe	tʃelebrare	θeleβɾaɾ	-	kɛlɛbrarɛ
ðʃelere	-	səle	tʃɛlere	θeleɾe	sɛlɨɾɨ	kɛlɛrɛm
zeleʁibed	-	seleʁipɛd	-	-	-	kɛlɛrɪpɛdɛm
zelɐ	-	-	tʃɛlla	θela	sɛlɐ	kɛllam
zəle	-	səle	tʃelare	θelaɾ	-	kelarɛ
dʃelsiduʤne	-	-	tʃelsitudine	-	-	kɛlsɪtudɪnɛm
tʃelta	-	sɛlt	tʃɛlta	θelta	seltɐ	kɛltam
zenaɣl	-	senakl	-	θenakulo	-	kenakʊlʊm
ðʃenare	tʃina	-	tʃenare	θenaɾ	siaɹ	kenarɛ
zeɪŋzoɹ	tʃenzor	sɑ̃sœʁ	tʃensore	θensoɾ	seɪŋsoɹ	kensorɛm
zɑzyʁ	-	sɑ̃syʁ	-	θensuɾa	-	kensuram
ðʃenðorea	-	sɑ̃toʁe	tʃentaurea	-	seɪŋtaʊɾiɐ	kɛntaʊream
ðʃenðuɾje	tʃentuɾje	sɑ̃tyʁi	tʃenturia	θentuɾja	seɪŋtuɾjɐ	kɛntʊrɪam
ðʃeabə	tʃeapə	siv	-	-	-	kepam
ðʃefalea	-	sefale	tʃefalɛa	θefalea	sefɐlɛɪɐ	kɛpʰalaɪam
ðʃiboʎa	-	sibul	tʃipolla	θeβoʎa	sebolɐ	kepʊllam
tʃeraste	-	-	tʃeraste	-	-	kɛrasten
θiɾuelo	-	-	-	θiɾuelo	-	kerɛɔlʊm
ðʃero	-	sjɛʁʒ	tʃero	θiɾjo	-	kerɛʊm
ðʃerne	tʃerne	-	tʃɛrnere	θeɾniɾ	sɨɾəniɹ	kɛrnɛrɛ
ðʃeɾos	tʃeɾos	siʁø	tʃerozo	θeɾoso	seɾozʊ	kerosʊm
dʃerdame	-	-	tʃertame	θeɾtamen	-	kɛrtamɛn
zeʁʤdyd	tʃertitudʲine	sɛʁtityd	tʃertitudine	θeɾtiðumbɾe	-	kɛrtɪtudɪnɛm
ðʃerðare	tʃerta	-	tʃertare	-	sɨɾətaɹ	kɛrtarɛ
ðʃerð	tʃert	sɛʁtɛ̃	tʃɛrto	θjeɾto	sɛɾətʊ	kɛrtʊm
ðʃerβə	tʃerbə	-	tʃɛrva	θjeɾβa	-	kɛrwam
zeʁvwaz	-	sɛʁvwaz	tʃervodʒia	θeɾβeθa	seɾəveʒɐ	kɛrwɛsɪam
ðʃervino	-	-	tʃervino	θeɾβino	seɾəvinʊ	kɛrwinʊm
ðʃervoðʒia	-	sɛʁvwaz	tʃervodʒia	θeɾβeθa	seɾəveʒɐ	kɛrwɪsɪam
tʃessatsione	-	sɛsasjɔ̃	tʃessatsione	θesaθjon	sesɐsɐ̃ʊ̃	kɛssatɪonɛm
ðʃessare	-	sɛse	tʃessare	θesaɾ	sɨsaɹ	kɛssarɛ
kalare	-	-	kalare	kalaɾ	kɐlaɹ	kʰalarɛ
ɣaʁaddeʁ	-	kaʁaktɛʁ	kaɾattere	kaɾakteɾ	kɐɾatɨɹ	kʰarakterɛm
ɣɐɾəðulaɾjʊ	-	-	-	-	kɐɾətulaɾjʊ	kʰartʊlarɪʊm
ʃelidʁ	-	ʃelidʁ	-	-	-	kʰɛlydrʊm
ɣoleʁ	-	kolɛʁ	kɔllera	-	-	kʰɔlɛram
ɣorea	-	koʁe	korɛa	koɾea	kuɾɛɪɐ	kʰɔream
ɣoro	kor	kœʁ	kɔro	koɾo	koɾʊ	kʰɔrʊm
ɣroniɣo	-	kʁonik	krɔniko	kɾoniko	kɹɔnikʊ	kʰrɔnɪkʊm
ttonio	-	-	ktɔnio	-	-	kehtʰɔnɪʊm
ziβɐzɐʊ	-	-	tʃibatsione	θeβaθjon	sibɐsɐ̃ʊ̃	kɪbatɪonɛm
ðʃibare	-	-	tʃibare	θeβaɾ	sɨvaɹ	kɪbarɛ
ðʃib	tʃib	-	tʃibo	θiβo	sibʊ	kɪbʊm
ziɡal	tʃikadə	siɡal	tʃikala	θiɣara	siɡaʁɐ	kɪkadam
ðʃukuɾe	tʃukuɾe	ʃiʃ	tʃiko	tʃiko	-	kɪkkʊm
ʃet	-	ʃiʃ	tʃetʃe	tʃitʃaɾo	-	kɪkɛr
ðʃiðʃerɣia	-	-	tʃitʃɛrkia	-	-	kɪkɛrkʊlam
ʃikoʁe	tʃikɔaɾe	ʃikoʁe	tʃikɔria	atʃikoɾja	ʃikɔɾjɐ	kɪkʰɔrɪʊm
zizedel	-	sisɛ̃dɛl	-	-	-	kɪkɪndelam
ðʃikoɲɲa	-	siɡɔɲ	tʃikoɲɲa	θiɣueɲa	seɡoɲɐ	kɪkonɪam
ɣuɣuðə	kukutə	-	tʃikuta	θikuta	sikutɐ	kɪkutam
ʃifʁ	-	ʃifʁ	-	-	-	kɪfram
ðʃiliw	tʃiliw	sil	tʃiʎo	θexo	seʎʊ	kɪlɪʊm
ðʃinðʃe	tʃintʃe	-	tʃimitʃe	tʃisme	ʃiʒmɨ	kimɪkɛm
ðʃimoza	-	-	tʃimoza	-	-	kɪmʊssam
ðʃinðʃino	-	-	tʃintʃinno	-	-	kɪŋkɪnnʊm
zetyʁ	tʃentuɾə	sɛ̃tyʁ	tʃintura	θintuɾa	siŋtuɾɐ	kɪŋkturam
dʃindo	-	sɛ̃	tʃinto	-	-	kɪŋktʊm
θineɾeo	-	-	-	θineɾeo	-	kɪnɛrɛʊm
ðʃeno	-	-	tʃenno	θeɲo	seɲʊ	kɪnnʊm
θeɾθene	-	-	-	θeɾθene	-	kɪrkɪnɛm
zeɾəziaɹ	-	-	-	θeɾθenaɾ	seɾəsiaɹ	kɪrkɪnarɛ
θeɾθeno	tʃearkən	sɛʁn	tʃertʃine	θeɾθeno	sɛɾəsiʊ	kɪrkɪnʊm
ðʃerðʃeða	tʃertʃeta	-	-	-	-	kɪrkɪtarɛ
ʃɛʁʃe	-	ʃɛʁʃe	tʃerkare	θeɾkaɾ	sɨɾəkaɹ	kɪrkarɛ
ðʃirkular	tʃirkular	siʁkylɛʁ	tʃirkolare	θiɾkulaɾ	siɾəkulaɹ	kɪrkʊlarɛm
ðʃirkula	tʃirkula	-	-	θiɾkulaɾ	siɾəkulaɹ	kɪrkʊlarɛ
ziɾəɣuŋdaɹ	-	-	tʃirkondare	θiɾkundaɾ	siɾəkũŋdaɹ	kɪrkʊmdarɛ
dʃirɣondurre	-	-	tʃirkondurre	-	-	kɪrkʊmdukɛrɛ
θiɾɣfeɾiɾ	-	-	-	θiɾkumfeɾiɾ	-	kɪrkʊmfɛrrɛ
dʃirɣonʎeddere	-	-	tʃirkonflettere	-	-	kɪrkʊmflɛktɛrɛ
ziɾəɣuŋʎuiɹ	-	-	tʃirkonfluire	-	siɾəkũŋfluiɹ	kɪrkʊmflʊɛrɛ
tʃirɣonloɣutsione	-	-	tʃirkonlokutsione	θiɾkunlokuθjon	-	kɪrkʊmlɔkutɪonɛm
ziʁɣynaviɡe	tʃirkumnaviɡa	siʁkymnaviɡe	tʃirkumnaviɡare	θiɾkunnaβeɣaɾ	siɾəkũŋnɐvɨɡaɹ	kɪrkʊmnawɪɡarɛ
ðʃirɣosɣrivere	-	siʁkɔ̃skʁiʁ	tʃirkoskrivere	θiɾkunskɾiβiɾ	siɾəkũŋskɹɨveɹ	kɪrkʊmskribɛrɛ
ðʃirkonvenire	-	siʁkɔ̃vniʁ	tʃirkonvenire	θiɾkumbeniɾ	-	kɪrkʊmwɛnirɛ
ziɾəɣuŋvulveɹ	-	-	-	-	siɾəkũŋvulveɹ	kɪrkʊmwɔlwɛrɛ
tʃisterna	tʃisternə	sitɛʁn	tʃistɛrna	θisteɾna	siʃtɛɾənɐ	kɪstɛrnam
ziðɐzɐʊ	-	sitasjɔ̃	-	-	sitɐsɐ̃ʊ̃	kɪtatɪonɛm
θideɾjoɾ	-	siteʁjœʁ	-	θiteɾjoɾ	-	kɪtɛrɪorɛm
ðʃeðeɾə	tʃeteɾə	sitaʁ	tʃetra	θitaɾa	sitɐɾɐ	kɪtʰaram
sitaʁist	-	sitaʁist	-	-	-	kɪtʰarɔɪdʊm
zivik	tʃivik	sivik	tʃiviko	θiβiko	-	kiwɪkʊm
ɣlamore	-	klamœʁ	klamore	klamoɾ	klɐmoɹ	klamorɛm
ʃɣlɐɾɨzeɹ	-	-	-	-	ʃklɐɾɨseɹ	klareskɛrɛ
glarita	klaɾitate	klaʁte	klarita	klaɾiðad	klɐɾidadɨ	klarɪtatɛm
ɣlaɾaɾ	-	-	-	klaɾaɾ	-	klararɛ
ɣloʤɣasjo	-	klodikasjɔ̃	-	-	-	klaʊdɪkatɪonɛm
ɣloʤɣare	-	klodike	klaudikare	klaʊðikaɾ	-	klaʊdɪkarɛ
ɣlo	-	klo	kjudere	-	ʃowzʊ	klaʊdɛrɛ
ɣjavisteʎo	-	-	kjavistɛllo	-	-	klaʊstɛllʊm
ɣlaʊzulɐ	-	-	-	klausula	klaʊzulɐ	klaʊsʊlam
ɣjuzura	klisuɾə	klotyʁ	kjuzura	klaʊsuɾa	-	klaʊsuram
ɣlaviɣoʁð	-	klavikɔʁd	klavikɔrdo	klaβikoɾðjo	-	klawikʰɔrdɪʊm
ɣjavo	-	klu	kjavo	klaβo	klavʊ	klawʊm
klemenʤzzimo	-	-	klementissimo	klementisimo	-	klementɪssɪmʊm
ɣlessidra	-	-	klessidra	-	-	klɛpsydram
ɣleɾiɡʊ	-	klɛʁ	kjɛriko	kleɾiɣo	klɛɾiɡʊ	klerɪkʊm
ɣlimaderiɣo	-	-	klimateriko	-	klimɐtɛɾikʊ	klimakterɪkʊm
ɣliniɣ	-	klinik	-	-	-	klinɪkʊm
ɣinare	-	-	kinare	-	-	klinarɛ
kaʃe	-	kaʃe	-	aɣatʃaɾse	kuɐtaɹ	kɔaktarɛ
ɣoaɡylasjo	-	kɔaɡylasjɔ̃	koaɡulatsione	koaɣulaθjon	kuɐɡulɐsɐ̃ʊ̃	kɔaɡʊlatɪonɛm
kuɐlɨzeɹ	-	-	-	-	kuɐlɨseɹ	kɔaleskɛrɛ
ɣuɐɾətaɹ	-	-	-	-	kuɐɾətaɹ	kɔartarɛ
ɣoʃnij	-	koʃnij	kotʃʃiniʎa	kotʃiniʎa	kuʃiniʎɐ	kɔkkɪnam
ɣoɣy	-	kɔky	kokwe	-	-	kɔkkʊm
ɣoðʃuɾa	koptuɾə	-	kottura	kotʃuɾa	-	kɔkturam
kod	koditʃe	kɔd	kɔditʃe	koðiθe	kɔdisɨ	kodɪkɛm
ɣoʤðʃiʎo	-	kodisij	koditʃillo	koðiθilo	kudisilʊ	kodɪkɪllʊm
ɣoeɾθeɾ	-	-	-	koeɾθeɾ	-	kɔɪrkerɛ
ɣoeɾθjon	-	koɛʁsisjɔ̃	-	koeɾθjon	-	kɔɪrkɪtɪonɛm
ɣodʒidabondo	-	-	kodʒitabondo	-	-	koɡɪtabʊndʊm
ɣoʒitasjo	-	koʒitasjɔ̃	-	-	-	koɡɪtatɪonɛm
ɣuɲa	kumnat	koɲa	koɲato	kuɲaðo	-	kɔŋnatʊm
ɣoɲome	koɡnomen	koɲomɛn	koɲome	koɡnome	kuɡnomɨ	koŋnomɛn
ɣoabide	-	koabite	koabitare	koaβitaɾ	-	kɔhabɪtarɛ
ɣuɨɾiɹ	-	-	-	-	kuɨɾiɹ	kɔhaɪrerɛ
ɣoiβiɾ	-	-	-	koiβiɾ	-	kɔhɪberɛ
ɣoonestaɾ	-	-	-	koonestaɾ	-	kɔhɔnɛstarɛ
ɣorde	-	kuʁ	korte	koɾte	kɔɾətɨ	kɔhɔrtɛm
koit	koit	-	-	-	koɪtʊ	kɔɪtʊm
ɡowβɨ	-	ku	kolpo	ɡolpe	ɡɔwpɨ	kɔlapʰʊm
ɣoʎodare	-	-	kollaudare	kolaʊðaɾ	-	kɔllaʊdarɛ
ɣoʎetta	-	kɔlɛkt	kollɛtta	kolekta	kulɛtɐ	kɔllektam
ɣoleɣtsie	kolektsie	kɔlɛksjɔ̃	kolletsione	kolekθjon	kulɨsɐ̃ʊ̃	kɔllektɪonɛm
ɣoleɣʤβo	-	-	-	kolektiβo	-	kɔllektiwʊm
ɣoʎedʒo	-	-	kollɛdʒo	kolexjo	kulɛʒjʊ	kɔlleɡɪʊm
ɣolɨ	-	-	kolle	koʎaðo	kɔlɨ	kɔllɛm
ɣulɣa	kulka	kuʃe	kollokare	kolɣaɾ	kulɡaɹ	kɔllɔkarɛ
ɣoʎudere	-	-	kolludere	koluðiɾ	-	kɔlludɛrɛ
ɣweʎo	-	ku	kollo	kweʎo	kɔlʊ	kɔllʊm
ɣoliʁ	-	kɔliʁ	kollirio	koliɾjo	kuliɾjʊ	kɔllyrɪʊm
ɣolare	-	kule	kolare	kolaɾ	kuaɹ	kɔlɛrɛ
ɣolonie	kolonie	koloni	kolɔnia	kolonja	kulonjɐ	kɔlonɪam
ɣolo	-	kolɔ̃	kɔlono	kolono	kulonʊ	kɔlonʊm
ɣolorare	koloɾa	koloʁe	kolorare	koloɾaɾ	kuluɾaɹ	kɔlorarɛ
ɣolostʁom	-	kolɔstʁɔm	kolɔstro	kalostɾo	kuloʃtɹʊ	kɔlɔstram
ɣuløvʁ	-	kuløvʁ	-	kuleβɾa	-	kɔlʊbram
kolubrino	-	kolybʁɛ̃	kolubrino	-	kulubɹinʊ	kɔlʊbrinʊm
ɣolob	kolumbə	kolɔ̃b	kolomba	-	-	kɔlʊmbam
ɣolobe	-	kolɔ̃bɛ̃	kolombino	kolumbino	-	kɔlʊmbinʊm
ɣolombo	-	kolɔ̃b	kolombo	-	-	kɔlʊmbʊm
ɣulelɐ	-	kulmɛl	kolumɛlla	-	kulumɛlɐ	kɔlʊmɛllam
ɣomburere	-	-	komburere	-	-	kɔmburɛrɛ
meɹ	-	-	-	komeɾ	kumeɹ	kɔmɛdɛrɛ
ɣomitsio	-	komis	komitsio	komiθjo	kumisjʊ	kɔmɪtɪʊm
ɣoʒe	-	kɔ̃ʒe	kommjato	-	-	kɔmmɛatʊm
ɣonmemoɾaθjon	-	kɔmemoʁasjɔ̃	kommemoratsione	konmemoɾaθjon	kumɨmuɾɐsɐ̃ʊ̃	kɔmmɛmɔratɪonɛm
ɣomɑde	-	kɔmɑ̃de	komandare	komandaɾ	-	kɔmmɛndarɛ
ɣomɑdeʁ	-	kɔmɑ̃tɛʁ	-	komentaɾjo	kumeɪŋtaɾjʊ	kɔmmɛntarɪʊm
ɣomeɾθjal	komertʃjal	kɔmɛʁsjal	kommertʃale	komeɾθjal	kumɨɾəsiɑl	kɔmmɛrkɪalɛm
ɣomeðiɾ	-	-	-	komeðiɾ	-	kɔmmetiri
ɣommizerare	-	-	kommizerare	-	-	kɔmmɪsɛrari
komizje	komisje	kɔmisjɔ̃	kommissione	komisjon	kumisɐ̃ʊ̃	kɔmmɪssɪonɛm
kommeddere	ɨnkumeta	kɔmɛtʁ	kommettere	kometeɾ	kumɨteɹ	kɔmmɪttɛrɛ
ɣomoðo	-	-	kɔmodo	komoðo	kɔmudʊ	kɔmmɔdʊm
ɣommotsione	-	kɔmosjɔ̃	kommotsione	konmoθjon	kumusɐ̃ʊ̃	kɔmmotɪonɛm
muveɹ	-	-	kommuɔvere	konmoβeɾ	kumuveɹ	kɔmmɔwerɛ
ɣomynal	komunal	kɔmynal	-	komunal	kumunɑl	kɔmmunalɛm
ɣomunione	-	kɔmynjɔ̃	komunione	komunjon	kumũɲɐ̃ʊ̃	kɔmmunirɛ
komun	komun	kɔmœ̃	komune	komun	kumũŋ	kɔmmunɛm
komuta	komuta	kɔmye	kommutare	konmutaɾ	kumutaɹ	kɔmmutarɛ
ɣomʊ	-	-	-	-	komʊ	komɛrɛ
ɣombɐɹ	-	-	-	-	kompɐɹ	kɔmparɛm
ɣombratore	-	-	kompratore	kompɾaðoɾ	kumpɹɐdoɹ	kɔmparatorɛm
ɣombarire	-	kɔ̃paʁɛtʁ	komparire	kompaɾeθeɾ	kumpɐɾɨseɹ	kɔmparerɛ
ɣobasibl	-	kɔ̃pasibl	-	kompasiβle	-	kɔmpassɪbɪlɛm
ɣopeʁ	-	kɔ̃pɛʁ	kompare	kompaðɾe	kumpadɹɨ	kɔmpatrɛm
ɣombeleɾ	-	-	-	kompeleɾ	kumpɨliɹ	kɔmpɛllɛrɛ
ɣopeðɑz	kompetentsə	kɔ̃petɑ̃s	kompetɛntsa	kompetɛnθja	kumpɨteɪŋsjɐ	kɔmpɛtɛntɪam
gompetitsje	kompetitsje	kɔ̃petisjɔ̃	kompetitsione	kompetiθjon	kumpɨtisɐ̃ʊ̃	kɔmpɛtitɪonɛm
ɣompetitor	kompetitor	kɔ̃petitœʁ	kompetitore	kompetiðoɾ	kumpɨtidoɹ	kɔmpɛtitorɛm
ɣombedere	-	kɔ̃pete	kompetere	kompetiɾ	kumpɨtiɹ	kɔmpɛtɛrɛ
ɣombilatsione	-	kɔ̃pilasjɔ̃	kompilatsione	kompilaθjon	kumpilɐsɐ̃ʊ̃	kɔmpilatɪonɛm
ɣombitʊ	-	-	-	-	kompitʊ	kɔmpɪtʊm
ɣomblaθeɾ	-	kɔ̃plɛʁ	kompjatʃɛre	komplaθeɾ	kumpɹɐzeɹ	kɔmplakerɛ
ɣoplemɑ	komplement	kɔ̃plemɑ̃	komplemento	-	-	kɔmplemɛntʊm
mpl	kumplʲ	akɔ̃pliʁ	kompjere	kumpliɾ	kũmpɹiɹ	kɔmplerɛ
ɣoblesjo	-	kɔ̃plesjɔ̃	-	-	-	kɔmpletɪonɛm
mblɨʤvʊ	-	-	kompletivo	kompletiβo	kumplɨtivʊ	kɔmpletiwʊm
ɣombleto	komplet	kɔ̃plɛ	komplɛto	kompleto	kumplɛtʊ	kɔmpletʊm
mpleɪzɐʊ	-	-	-	-	kumpleɪsɐ̃ʊ̃	kɔmplɛksɪonɛm
ɣombliɣatsione	komplikatsje	kɔ̃plikasjɔ̃	komplikatsione	komplikaθjon	kumplikɐsɐ̃ʊ̃	kɔmplɪkatɪonɛm
ɣomboɾdaɾ	-	kɔ̃pɔʁte	komportare	kompoɾtaɾ	kumpuɾətaɹ	kɔmpɔrtarɛ
kombɾensiβle	-	-	-	kompɾensiβle	kumpɹieɪŋsivɛl	kɔmprɛhɛnsɪbɪlɛm
ɣombrimere	-	kɔ̃pʁime	komprimere	kompɾimiɾ	kumpɹimiɹ	kɔmprɪmɛrɛ
kombɾoβaɾ	-	-	-	kompɾoβaɾ	-	kɔmprɔbarɛ
ɣoβʁomeðʁ	-	kɔ̃pʁomɛtʁ	kompromettere	kompɾometeɾ	kumpɹumɨteɹ	kɔmpromɪttɛrɛ
ɣombunθjon	kompunktsjune	kɔ̃pɔ̃ksjɔ̃	kompuntsione	kompunθjon	kumpũŋsɐ̃ʊ̃	kɔmpʊŋktɪonɛm
ɣombundʒere	-	kɔ̃pwɛ̃dʁ	kompundʒere	kompuŋxiɾ	-	kɔmpʊŋɡɛrɛ
ɣontaɾ	-	-	-	kontaɾ	kuŋtaɹ	kɔmpʊtarɛ
ɣonatsione	-	-	konatsione	-	-	konatɪonɛm
ɣonato	-	-	konato	-	-	konatʊm
ɣonɣadenare	-	-	konkatenare	konkatenaɾ	-	kɔŋkatenarɛ
ɣoɣav	konkav	kɔ̃kav	kɔnkavo	konkaβo	koŋkɐvʊ	kɔŋkawʊm
ɣonθeðeɾ	-	kɔ̃sede	kontʃedere	konθeðeɾ	-	kɔŋkedɛrɛ
ɣontʃettuale	-	-	kontʃettuale	-	-	kɔŋkɛptʊalɛm
ɣondʃernere	-	kɔ̃sɛʁne	kontʃɛrnere	konθeɾniɾ	kuŋsɨɾəniɹ	kɔŋkɛrnɛrɛ
ɣonɣa	-	kɔ̃ʃ	konka	kontʃa	koŋʃɐ	kɔŋkʰam
ɣonθizo	-	kɔ̃si	kontʃizo	konθiso	kuŋsizʊ	kɔŋkɪdɛrɛ
kondʃiliabolo	-	kɔ̃siljabyl	kontʃiliabolo	konθiljaβulo	kuŋsiliabulʊ	kɔŋkɪlɪabʊlʊm
ɣonsexaɾ	-	kɔ̃silje	konsiʎare	konsexaɾ	-	kɔŋkɪlɪarɛ
konsiʎo	-	kɔ̃sil	konsiʎo	konsexo	-	kɔŋkɪlɪʊm
ɣonθiniðað	-	-	kontʃinnita	konθiniðad	-	kɔŋkɪnnɪtatɛm
ɣonθitaθjon	-	-	kontʃitatsione	konθitaθjon	kuŋsitɐsɐ̃ʊ̃	kɔŋkɪtatɪonɛm
ɣonɣlamato	-	-	konklamato	-	-	kɔŋklamatʊm
ɣoɣlame	-	kɔ̃klame	konklamare	-	-	kɔŋklamarɛ
ɣoɣomidɑ	-	kɔ̃komitɑ̃	-	-	-	kɔŋkɔmɪtari
ɣonɣorʤa	-	kɔ̃kɔʁd	konkɔrdia	konkoɾðja	-	kɔŋkɔrdɪam
ɣonɣreʃere	-	-	konkreʃere	-	-	kɔŋkreskɛrɛ
ɣonɣretsione	-	kɔ̃kʁesjɔ̃	konkretsione	konkɾeθjon	-	kɔŋkretɪonɛm
ɣonɣulɣaθjon	-	-	-	konkulkaθjon	-	kɔŋkʊlkatɪonɛm
ɣonɣulɣaɾ	-	-	konkulkare	konkulkaɾ	-	kɔŋkʊlkarɛ
ɣoɣuʁiʁ	-	kɔ̃kuʁiʁ	konkɔrrere	konkuriɾ	kuŋkuʁeɹ	kɔŋkʊrrɛrɛ
ɣonɣorso	konkurs	kɔ̃kuʁ	konkorso	konkuɾso	kuŋkuɾəsʊ	kɔŋkʊrsʊm
ɣonɣjon	-	kɔ̃kysjɔ̃	-	konkusjon	-	kɔŋkʊssɪonɛm
ɣondenaθjon	-	-	kondannatsione	kondenaθjon	kuŋdɨnɐsɐ̃ʊ̃	kɔndɛmnatɪonɛm
ɣondensadsione	-	kɔ̃dɑ̃sasjɔ̃	kondensatsione	kondensaθjon	kuŋdensɐsɐ̃ʊ̃	kɔndensatɪonɛm
ɣondensa	kondensa	kɔ̃dɑ̃se	kondensare	kondensaɾ	kuŋdeɪŋsaɹ	kɔndensarɛ
ɣonʤʃendere	-	kɔ̃dɛsɑ̃dʁ	kondiʃɛndere	kondesθendeɾ	kuŋdɨseɪŋdeɹ	kɔndeskɛndɛrɛ
ɣonʤtsione	konditsje	kɔ̃disjɔ̃	konditsione	kondiθjon	kuŋdisɐ̃ʊ̃	kɔndɪkɪonɛm
ɣoʤzjonel	-	kɔ̃disjɔnɛl	-	-	-	kɔndɪkɪonalɛm
ɣondeθiɾ	-	ekɔ̃dyiʁ	-	kondeθiɾ	kuŋdizeɹ	kɔndikɛrɛ
ɣoʤɲ	-	kɔ̃diɲ	-	kondiɡno	-	kɔndɪŋnʊm
ɣonʤmendo	-	-	-	kondimɛnto	-	kɔndimɛntʊm
ɣonʤɾ	-	-	-	kondiɾ	-	kɔndirɛ
ɣonʤɾ	-	-	-	kondiɾ	-	kɔndɛrɛ
ɣuŋðueɹ	-	kɔ̃dulwaʁ	kondolersi	kondoleɾ	kuŋdueɹ	kɔndɔlerɛ
ɣondonaɾ	-	-	kondonare	kondonaɾ	-	kɔndonarɛ
ɣondudʃe	kondutʃe	kɔ̃dyiʁ	kondurre	konduθiɾ	kuŋduziɹ	kɔndukɛrɛ
ɣondudzione	konduktsie	kɔ̃dyksjɔ̃	kondutsione	kondukθjon	kuŋdusɐ̃ʊ̃	kɔndʊktɪonɛm
ɣoneɣde	-	kɔnɛkte	konnettere	konektaɾ	kunɛtaɹ	konɛktɛrɛ
ɣoneɣzjo	-	kɔnɛksjɔ̃	-	koneksjon	-	konɛksɪonɛm
ɣofeʁe	-	kɔ̃feʁe	konferire	komfeɾiɾ	kuŋfɨɾiɹ	konfɛrrɛ
ɣofeʁv	-	kɔ̃fɛʁv	-	-	-	konfɛrwam
ɣofesœʁ	-	kɔ̃fɛsœʁ	konfessore	komfesoɾ	kuŋfɨsoɹ	konfɛssorɛm
ɣofiʁ	-	kɔ̃fiʁ	-	-	-	konfɪkɛrɛ
ɣofidɑz	-	kɔ̃fidɑ̃s	-	-	-	konfidɛntɪam
ɣonfidare	konfja	kɔ̃fje	konfidare	komfjaɾ	kuŋfiaɹ	konfidɛrɛ
ɣonfine	-	kɔ̃fɛ̃	konfine	komfin	kuŋfiŋ	kɔnfinɛm
ɣofiʁmasjo	-	kɔ̃fiʁmasjɔ̃	konfermatsione	komfiɾmaθjon	kuŋfiɾəmɐsɐ̃ʊ̃	konfɪrmatɪonɛm
ɣonfizɣare	-	kɔ̃fiske	konfiskare	komfiskaɾ	kuŋfiʃkaɹ	konfɪskarɛ
ɣofese	-	kɔ̃fɛse	-	komfesaɾ	kuŋfɨsaɹ	konfɪteri
ɣonʎitto	konflikt	kɔ̃fli	konflitto	komflikto	kuŋflitʊ	konflɪktʊm
ɡonfjare	-	ɡɔ̃fle	ɡonfjare	-	-	konflarɛ
ɣoʎyɑ	-	kɔ̃flyɑ̃	-	-	-	konflʊɛntɛm
ɣoʎye	-	kɔ̃flye	konfluire	komfluiɾ	kuŋfluiɹ	konflʊɛrɛ
ɣomfeðeɾaθjon	-	kɔ̃fedeʁasjɔ̃	konfederatsione	komfeðeɾaθjon	kuŋfɨdɨɾɐsɐ̃ʊ̃	konfɔɪdɛratɪonɛm
ɣonfederare	-	-	konfederare	-	-	konfɔɪdɛrarɛ
ɣuŋfoɾəmɨ	-	kɔ̃fɔʁm	konforme	komfoɾme	kuŋfɔɾəmɨ	konformɛm
ɣofoʁme	-	kɔ̃fɔʁme	-	-	-	konformarɛ
ɣofoʁde	-	kɔ̃fɔʁte	-	-	-	konfɔrtarɛ
konfudare	-	kɔ̃fyte	konfutare	komfutaɾ	-	konfutarɛ
ɡroŋɡo	-	-	ɡroŋɡo	koŋɡɾio	koŋɡɹʊ	kɔŋɡrʊm
ɣoʒeʁ	-	kɔ̃ʒɛʁ	-	-	-	kɔŋɡɛrɪɛm
